label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48
0.03	north1_all	80	32210	9853	4727	2981	1368	924	860	481	755	370	238	181	179	102	85	93	95	44	30	19	37	19	13	8	9	6	11	6	6	4	2	2	1	1	0	1	0	1	0	8	0	0	0	2	1	0	0	0	0
0.03	north1_active	80	27238	7489	3329	2118	399	256	538	161	601	220	118	58	123	34	48	66	76	15	12	6	26	6	9	4	2	2	6	2	1	2	2	0	0	1	0	1	0	0	0	8	0	0	0	2	1	0	0	0	0
0.03	north2_all	80	30094	9265	4506	2942	1352	931	811	488	757	367	232	178	170	100	84	90	82	45	26	16	32	20	13	9	8	7	12	6	5	3	3	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_active	80	24988	6800	3055	2023	376	241	491	148	574	208	108	55	105	27	44	60	67	15	9	5	25	7	8	5	1	1	6	1	1	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_all	80	28109	8787	4365	2849	1315	961	836	524	719	359	226	170	181	99	95	74	91	48	31	16	25	24	15	11	7	6	10	3	2	0	2	4	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	22788	6234	2838	1859	355	259	473	171	541	183	107	47	113	33	44	44	77	15	13	4	18	6	11	4	1	0	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_all	80	26451	8441	4194	2744	1349	964	852	528	644	368	206	159	187	101	98	74	92	46	41	16	25	21	16	11	4	7	6	3	1	3	3	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	20966	5754	2577	1738	345	251	469	158	460	195	87	42	119	29	47	44	73	12	17	4	18	4	10	4	0	0	3	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	26472	8502	4132	2721	1376	966	836	533	577	337	204	156	195	99	96	71	90	46	41	16	26	22	24	11	6	7	7	2	2	3	5	7	1	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north5_active	80	20973	5828	2553	1733	367	262	455	166	412	180	86	39	132	33	47	45	67	13	17	6	19	5	15	2	1	0	3	2	0	2	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north6_all	80	28619	8985	4331	2832	1389	909	854	530	671	333	200	171	188	104	84	78	85	57	40	21	24	20	19	13	5	14	6	2	2	3	4	3	1	1	2	0	0	1	0	0	0	0	1	0	0	0	1	1	0
0.03	north6_active	80	23224	6395	2776	1880	381	240	497	170	508	187	81	52	130	37	40	47	58	18	17	6	18	3	11	2	1	7	2	2	0	2	2	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0
0.03	north7_all	80	30477	9416	4573	2937	1382	936	853	526	698	343	208	173	196	101	88	78	80	60	33	33	20	17	21	14	7	15	7	5	1	4	5	2	2	2	3	0	0	1	0	1	0	0	1	0	1	0	1	1	0
