label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47
0.03	north1_all	80	3333	989	1697	546	442	212	158	153	72	195	68	93	58	53	18	24	27	10	7	7	9	2	1	6	2	2	0	3	8	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north1_active	80	1886	458	1042	278	265	109	82	87	28	135	30	58	27	35	6	15	17	4	6	3	6	1	0	4	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3228	959	1555	525	458	199	135	164	71	205	60	94	49	45	19	23	25	6	4	8	7	1	2	8	0	0	1	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north2_active	80	1734	432	993	275	282	104	69	92	28	138	26	57	19	31	8	15	11	2	3	4	3	0	0	5	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3210	953	1502	532	453	194	147	145	74	161	77	87	50	60	18	22	26	7	2	9	11	1	3	6	4	1	3	2	2	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1705	442	954	276	266	102	76	81	32	99	41	57	20	40	7	12	11	6	2	4	5	0	2	3	4	1	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3212	981	1573	518	499	198	145	141	76	134	71	83	49	64	15	20	37	8	4	7	6	2	6	7	5	2	3	2	2	1	0	0	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1697	457	1001	280	307	94	74	77	30	82	38	52	23	43	7	7	22	7	1	4	3	1	4	4	5	2	0	2	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3262	973	1564	524	485	198	150	131	78	124	78	75	54	57	14	16	38	11	5	7	10	2	5	3	6	2	4	0	2	3	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1795	471	980	284	292	97	69	71	40	86	46	50	34	38	7	6	23	10	1	3	5	1	4	1	5	2	2	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	3261	1019	1595	510	459	201	147	135	78	115	66	73	51	44	15	20	33	11	11	5	8	3	3	2	8	1	2	0	4	3	1	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1811	475	984	268	287	96	68	77	39	84	36	49	33	29	7	10	24	8	5	3	4	2	2	2	5	1	2	0	4	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	3323	1000	1733	530	440	213	136	145	79	167	65	69	51	49	17	15	37	13	14	5	8	2	0	3	5	0	2	0	5	4	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	1877	446	1048	284	274	105	67	83	42	126	31	42	35	32	6	9	27	6	8	3	4	1	0	3	1	0	2	0	3	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	3372	1014	1807	572	465	209	136	159	85	202	71	81	49	58	18	23	31	15	14	5	9	2	1	4	7	0	0	0	5	1	4	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	1896	466	1118	322	297	108	66	98	43	147	42	46	38	35	8	13	20	5	8	3	5	1	1	2	2	0	0	0	3	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	3367	1011	1791	554	450	218	136	168	81	200	75	103	43	55	17	24	34	15	11	5	9	1	2	4	7	0	0	0	2	1	6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
0.03	north9_active	80	1892	463	1092	317	293	113	68	103	36	141	42	63	31	35	7	12	25	3	5	3	4	0	2	1	3	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
0.03	north10_all	80	3363	1023	1592	558	467	193	134	154	80	189	80	103	41	50	21	27	30	10	8	4	11	1	4	7	6	0	1	0	0	1	5	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north10_active	80	1934	472	1010	314	300	95	61	94	35	124	47	66	31	32	9	13	23	3	4	2	3	0	3	2	4	0	0	0	0	1	3	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north11_all	80	3365	983	1715	588	481	211	160	133	74	206	67	104	51	48	16	32	43	10	10	3	7	2	5	3	5	6	4	1	1	4	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
0.03	north11_active	80	1888	456	1109	325	281	112	96	83	30	125	41	65	34	32	8	23	29	3	6	2	6	2	3	1	4	2	3	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	3188	984	1560	564	468	201	156	134	74	172	64	103	44	43	17	18	47	8	9	9	9	3	5	4	3	5	3	2	1	3	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
0.03	north12_active	80	1769	445	1010	313	274	102	91	69	36	109	35	62	31	27	10	12	29	1	6	5	7	2	2	1	3	2	2	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	3127	993	1536	512	504	185	134	140	85	159	54	98	46	45	20	11	39	13	9	7	15	3	5	4	2	3	2	2	2	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	1717	454	1028	272	319	93	80	73	42	97	27	49	34	26	11	8	28	2	7	4	12	2	1	1	2	2	1	1	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	3154	1025	1493	529	471	185	136	143	78	171	51	84	45	45	20	16	25	12	9	7	11	3	3	4	2	1	1	2	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	1735	483	956	291	298	86	71	72	37	99	20	45	30	27	10	13	16	2	4	3	7	2	0	1	0	1	0	2	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	3260	1039	1610	556	520	189	143	140	73	232	44	94	57	39	21	16	33	9	8	6	12	2	4	3	2	1	1	1	3	4	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	1828	503	1049	303	330	89	75	75	35	156	18	64	41	21	10	14	20	2	5	4	6	1	1	0	0	1	0	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	3330	1065	1778	574	547	195	139	147	67	258	55	123	60	35	28	26	30	9	8	8	8	1	3	1	7	1	1	1	2	3	3	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	1917	533	1155	331	350	96	70	83	29	174	24	90	44	15	11	17	16	2	4	3	4	1	1	0	2	1	0	1	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	3480	1093	1998	589	550	224	135	143	68	289	52	113	73	45	25	27	40	10	5	9	12	1	3	0	6	2	1	3	1	3	4	1	1	8	0	1	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north17_active	80	2053	559	1291	328	350	122	68	87	27	228	23	79	53	28	12	16	25	5	4	4	9	1	2	0	2	1	0	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north18_all	80	3481	1085	2056	610	528	219	138	123	79	268	60	93	64	44	17	25	38	13	8	7	10	4	3	2	10	1	2	3	0	1	1	1	2	4	0	1	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north18_active	80	2039	542	1308	335	320	124	75	72	34	198	26	59	48	28	7	14	27	6	3	3	10	2	2	1	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north19_all	80	3403	1085	1878	593	490	225	134	132	78	214	52	69	61	55	14	18	33	11	8	4	9	4	2	3	7	1	1	3	2	1	1	2	2	5	0	0	0	0	0	0	0	0	0	2	0	1	0	0
0.03	north19_active	80	1949	511	1149	314	294	126	69	76	32	154	27	43	41	41	6	12	27	5	4	2	7	1	2	1	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north20_all	80	3297	999	1607	564	440	206	138	113	71	190	53	70	49	38	12	13	37	9	9	6	8	6	1	6	7	2	1	0	2	0	0	1	1	1	0	1	0	0	0	0	1	0	0	2	0	1	0	0
0.03	north20_active	80	1821	465	966	297	252	106	69	60	35	135	27	44	34	26	6	8	28	6	4	3	6	3	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
