label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53
0.03	north1_all	80	5514	5900	1088	1115	449	367	403	442	175	126	270	112	41	48	38	40	21	15	18	43	17	26	6	5	9	7	1	4	9	1	2	3	3	0	1	1	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2981	3892	486	642	201	191	240	273	96	45	175	72	26	20	24	22	9	5	12	32	12	14	3	0	5	5	1	3	7	1	1	2	3	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5588	5956	1091	1087	460	371	392	448	183	120	267	100	47	45	37	40	24	16	13	31	27	44	6	4	12	7	2	5	8	1	1	4	5	0	1	1	0	2	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	3001	3938	473	629	203	195	237	279	104	45	180	60	26	17	24	20	9	7	6	22	20	30	4	1	5	5	1	3	6	1	1	3	5	0	0	0	0	1	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	5638	5788	1122	1087	421	351	370	493	190	120	256	114	45	49	44	38	24	21	15	32	18	38	11	6	9	9	3	10	9	1	1	3	5	1	1	1	1	2	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	3015	3770	504	629	184	175	230	311	105	52	172	61	27	23	28	18	10	9	8	22	14	27	7	1	4	5	1	4	8	0	1	3	5	0	0	0	1	1	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	5739	5763	1100	1091	447	350	359	522	184	115	249	111	49	40	49	36	30	20	15	48	22	38	16	9	8	5	3	10	8	1	1	6	3	1	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	3064	3761	501	619	211	158	214	346	109	55	176	61	25	21	28	16	13	11	9	33	18	27	10	4	2	2	1	2	8	0	1	6	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	5708	5652	1085	1112	470	345	364	514	175	112	244	135	49	44	46	23	27	18	14	42	14	24	15	7	7	6	3	9	7	2	1	5	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3073	3610	512	645	215	152	208	329	96	54	171	77	25	17	28	8	12	9	8	27	11	19	9	4	2	1	2	1	5	1	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
