label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63
0.03	north1_all	80	15123	3657	2077	3245	2630	1032	554	714	301	261	197	169	210	103	75	69	189	119	47	64	34	21	24	23	37	12	10	7	6	14	7	7	2	4	1	2	5	2	0	0	3	2	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north1_active	80	11693	803	808	2765	2303	687	166	516	80	105	50	83	143	25	22	20	170	105	32	45	5	3	5	19	37	9	5	1	3	14	3	5	1	3	0	2	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	15070	3625	2074	3164	2627	1019	540	700	307	262	204	157	208	108	74	68	175	145	39	57	28	20	21	18	33	11	10	3	10	6	8	6	3	10	1	4	6	3	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	11685	825	788	2675	2298	689	150	506	86	100	50	72	145	21	18	22	152	129	28	44	5	2	5	14	33	8	5	1	3	6	2	5	1	9	0	2	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	14995	3570	2082	3333	2633	993	538	705	307	268	192	154	198	102	82	76	176	152	32	52	27	18	13	19	36	15	9	4	8	6	7	3	5	20	2	4	4	4	3	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north3_active	80	11552	796	783	2846	2280	640	167	526	80	95	55	80	139	18	19	22	151	136	20	37	7	4	3	13	32	11	4	1	2	6	2	3	3	20	0	1	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	15037	3559	2154	3231	2606	984	533	658	314	278	183	157	194	95	75	75	169	138	31	43	28	15	14	20	38	11	6	5	8	10	4	5	7	21	1	6	1	5	4	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	11575	798	808	2739	2249	634	183	494	81	89	49	84	137	19	23	22	145	116	17	28	11	5	3	16	32	4	4	1	1	8	2	5	3	20	0	3	0	3	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	15160	3624	2231	3188	2551	1021	534	683	326	290	179	155	199	96	83	77	193	126	34	42	28	22	15	14	53	12	9	5	6	12	1	8	6	18	1	7	3	4	4	1	0	0	0	2	0	3	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	11731	820	862	2731	2210	656	184	514	73	102	52	89	139	21	22	19	166	104	20	26	10	7	4	11	47	4	7	1	1	10	1	6	3	15	0	5	0	3	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	15233	3620	2230	3134	2591	1032	559	688	350	272	183	158	194	95	80	75	175	137	35	54	23	25	22	15	64	10	9	3	6	11	5	15	5	16	0	7	3	4	1	1	0	0	0	2	0	3	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north6_active	80	11712	822	882	2658	2261	664	191	513	92	97	57	81	134	22	24	22	153	121	23	35	7	9	5	13	61	2	7	1	3	9	2	13	2	13	0	6	1	3	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north7_all	80	15152	3595	2237	3280	2689	1061	529	686	376	275	176	161	192	101	89	78	171	163	38	42	27	24	19	16	60	14	15	4	3	6	7	27	3	10	0	6	3	5	0	1	0	0	0	2	3	2	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_active	80	11621	825	880	2798	2345	691	174	512	103	112	59	82	138	28	24	29	149	147	25	29	11	7	4	13	58	7	11	2	2	5	3	25	2	6	0	5	1	5	0	1	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north8_all	80	15070	3662	2224	3173	2779	1058	513	711	349	261	173	169	210	102	80	68	135	167	50	44	32	24	26	29	45	13	12	3	4	17	8	23	3	7	1	3	1	2	0	0	0	0	0	1	3	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
