label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59
0.03	north1_all	80	11991	4304	4578	1236	2467	732	481	357	252	420	158	681	87	89	75	159	77	46	70	37	23	25	16	17	25	15	17	6	2	3	18	5	6	3	1	1	1	3	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north1_active	80	8786	2924	3889	281	2166	400	192	158	83	323	34	643	29	27	27	135	61	18	63	27	15	14	5	10	20	6	11	5	1	1	16	1	5	3	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	11911	4296	4563	1192	2338	757	495	339	256	385	153	653	96	87	84	173	78	52	83	44	22	27	13	14	19	12	16	11	3	3	16	6	0	2	1	1	2	2	3	2	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0
0.03	north2_active	80	8712	2918	3884	283	2035	430	189	150	90	286	37	622	33	25	30	148	60	20	73	32	12	19	4	8	16	5	11	10	2	1	15	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	11976	4369	4565	1163	2234	711	519	358	242	350	156	556	99	101	78	162	68	51	85	40	25	29	15	13	19	8	10	7	4	2	17	5	2	2	1	2	1	3	3	2	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0
0.03	north3_active	80	8788	2984	3873	264	1954	412	195	156	82	266	32	522	30	30	28	137	53	19	73	27	13	18	6	9	17	4	6	6	3	0	15	1	2	1	0	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north4_all	80	11890	4484	4831	1139	2171	669	487	371	277	339	169	552	106	98	82	174	65	51	102	37	29	31	14	15	30	9	11	9	5	7	15	4	7	3	0	3	1	3	4	2	1	1	0	3	1	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0
0.03	north4_active	80	8692	3039	4132	262	1894	383	171	177	115	260	41	518	33	27	30	156	49	18	91	24	18	20	5	9	26	4	6	7	5	3	13	1	7	1	0	1	1	0	1	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north5_all	80	11732	4512	4876	1168	2116	644	484	377	263	319	176	524	109	100	79	158	69	38	85	31	28	27	15	14	27	11	12	8	5	6	10	3	11	2	1	2	2	3	2	2	1	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north5_active	80	8512	2993	4174	283	1856	381	168	186	107	249	38	481	31	28	25	142	49	13	76	20	13	14	5	9	23	3	8	6	3	3	8	0	11	1	0	0	1	0	1	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
