label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61
0.03	north1_all	80	3390	2374	989	1478	612	303	502	229	150	142	93	85	91	45	26	38	30	101	31	9	22	26	11	7	11	19	9	4	5	5	3	5	3	3	2	2	2	1	0	3	2	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1038	1601	498	1209	451	116	407	104	76	64	31	32	63	8	7	19	10	94	20	3	16	21	3	1	4	19	7	1	1	2	0	0	0	2	1	2	2	0	0	3	2	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3447	2353	1030	1409	603	303	518	192	176	122	90	88	86	41	38	38	33	143	32	11	19	24	10	9	13	22	12	4	3	2	3	5	3	1	2	2	2	1	2	0	2	4	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1046	1592	529	1146	438	114	413	83	94	63	34	31	60	7	14	17	9	134	23	4	8	18	4	2	4	21	10	1	0	0	0	2	0	0	1	2	2	0	1	0	2	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3446	2363	1042	1378	574	322	483	171	174	122	92	69	89	38	42	39	29	178	31	10	21	22	11	8	13	25	9	4	6	3	3	4	1	2	1	2	0	0	5	0	2	4	0	1	0	1	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1075	1615	516	1115	392	111	375	73	102	61	38	26	66	9	17	18	7	170	23	4	11	17	5	2	5	24	7	1	0	0	1	2	0	0	0	2	0	0	4	0	2	4	0	0	0	1	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3425	2346	1057	1334	572	328	441	172	194	123	98	73	95	44	47	39	32	184	33	15	24	19	10	9	12	37	6	2	5	3	2	3	1	2	2	0	0	1	5	0	6	4	0	1	1	1	1	3	3	2	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1080	1633	511	1063	384	119	344	77	124	62	39	32	76	7	18	17	10	179	19	5	11	16	3	2	5	36	6	1	1	0	1	2	0	0	0	0	0	1	4	0	5	4	0	0	1	1	0	3	3	2	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3438	2383	1035	1340	626	322	433	186	183	119	99	74	89	50	45	33	30	169	36	12	26	39	12	10	13	24	3	2	4	6	3	1	1	1	1	0	0	1	3	0	6	0	0	0	2	1	1	3	3	1	0	2	0	0	0	1	0	0	0	0	1	0
0.03	north5_active	80	1074	1651	506	1069	430	108	326	84	110	53	39	29	72	8	15	14	12	163	23	4	15	36	2	2	6	24	3	1	1	2	2	0	0	0	0	0	0	1	3	0	5	0	0	0	1	1	0	3	3	1	0	2	0	0	0	1	0	0	0	0	1	0
