label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68
0.03	north1_all	80	4881	1459	858	684	412	362	298	400	262	196	103	80	72	96	54	64	71	21	37	18	40	16	12	13	7	6	8	6	2	8	3	10	2	8	1	3	1	1	5	1	0	3	15	0	1	2	0	2	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3431	511	316	383	93	177	176	310	190	150	29	22	17	75	31	45	61	8	12	4	29	7	1	10	3	4	5	2	2	6	3	8	1	7	0	1	0	0	5	0	0	2	15	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4881	1424	855	685	401	346	260	363	250	212	98	91	63	82	51	53	80	26	32	18	36	14	12	13	8	6	7	7	1	9	3	10	2	8	2	1	0	1	5	1	0	4	10	1	1	2	1	2	0	0	1	1	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north2_active	80	3445	512	311	377	95	166	146	269	181	164	37	28	9	60	31	36	65	12	10	2	25	6	2	9	2	2	4	4	0	7	2	7	1	7	1	0	0	0	5	0	0	3	10	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north3_all	80	4899	1466	849	704	410	352	252	392	205	229	102	89	65	90	55	62	72	23	33	21	32	13	11	14	9	4	11	4	2	15	7	12	4	4	2	1	0	1	5	1	0	3	1	2	1	1	1	2	0	0	1	0	0	0	1	2	1	0	0	0	0	3	1	0	0	0	0	0	0
0.03	north3_active	80	3467	534	288	418	97	166	141	309	137	166	42	25	10	62	36	45	61	9	14	4	18	3	2	8	3	2	7	3	1	12	6	9	2	3	1	0	0	0	5	0	0	2	1	0	1	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north4_all	80	4853	1461	893	698	393	355	265	380	209	229	101	92	62	84	54	62	63	22	29	22	40	13	10	12	9	8	9	4	3	15	7	11	4	3	3	0	0	4	0	0	0	2	1	2	1	1	1	2	0	0	1	0	0	0	1	2	0	0	1	0	0	3	1	0	0	0	0	0	0
0.03	north4_active	80	3373	512	293	402	102	166	140	293	130	167	43	27	11	50	33	41	52	6	13	7	21	1	3	8	4	3	4	3	1	13	6	9	3	1	2	0	0	3	0	0	0	2	1	0	1	0	0	2	0	0	1	0	0	0	0	2	0	0	1	0	0	3	0	0	0	0	0	0	0
0.03	north5_all	80	4626	1471	911	712	400	332	274	346	220	212	99	90	62	86	53	62	56	19	29	24	39	13	10	13	7	9	6	3	3	15	7	10	3	1	5	0	0	5	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0
0.03	north5_active	80	3098	487	284	413	95	153	141	265	138	150	41	26	13	59	31	36	43	3	14	7	23	1	4	8	3	4	3	1	1	13	7	9	2	0	2	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north6_all	80	4522	1479	868	690	410	321	296	333	214	160	93	90	78	100	50	54	47	21	28	21	30	11	11	10	8	10	4	3	5	20	5	6	3	1	6	0	0	4	0	0	1	1	5	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north6_active	80	2898	454	263	380	80	151	136	257	128	107	41	20	16	65	32	30	34	5	9	6	18	2	3	7	2	4	0	2	1	18	4	6	3	0	2	0	0	4	0	0	1	1	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north7_all	80	4293	1421	826	668	414	303	297	305	189	142	104	95	76	88	51	47	58	22	26	18	26	8	13	8	7	8	3	3	4	12	5	8	5	2	5	1	1	2	2	1	1	0	4	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north7_active	80	2603	396	248	335	74	133	137	238	108	91	41	17	13	49	35	26	45	7	6	2	14	2	5	5	1	4	1	2	0	10	4	4	4	2	1	0	1	2	2	0	1	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north8_all	80	4337	1395	792	645	409	313	286	280	185	155	105	90	79	108	63	51	67	31	30	20	22	7	17	13	9	7	4	4	6	9	7	11	7	2	7	1	2	1	2	1	2	0	4	2	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	2669	394	237	314	68	138	125	220	120	103	35	14	13	64	42	30	57	10	5	4	11	2	7	7	3	2	2	3	1	8	5	7	4	2	1	0	1	0	2	0	1	0	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	4270	1433	831	662	401	330	282	280	194	175	99	85	64	85	68	60	66	27	24	19	26	9	15	11	7	8	4	8	5	7	4	8	7	3	3	1	2	1	2	1	1	3	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	2621	404	262	335	84	140	126	220	125	122	34	12	14	48	45	36	59	9	4	5	15	1	6	6	2	2	2	4	1	7	3	4	3	3	1	0	1	0	2	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	4174	1430	870	671	398	356	250	284	211	187	86	75	63	78	64	59	65	26	26	18	26	11	16	15	8	16	5	6	6	10	4	8	6	2	3	0	1	2	1	1	1	3	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	2588	410	272	329	87	154	108	206	135	130	28	13	14	54	41	29	53	9	9	5	18	1	5	7	2	7	2	2	2	8	3	4	3	2	1	0	0	1	1	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	4753	1541	878	729	397	305	278	396	206	203	104	83	57	91	62	83	73	24	33	22	28	10	9	12	10	9	4	4	5	11	6	5	2	6	6	2	1	2	2	2	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	3241	521	275	387	75	147	164	301	132	149	39	22	19	61	42	63	58	6	12	5	22	2	5	9	2	5	2	3	0	8	3	4	1	5	5	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	4854	1546	903	721	392	305	293	345	234	223	97	79	57	87	58	82	69	16	31	21	43	11	13	17	13	9	6	6	6	12	3	1	2	10	10	1	1	3	2	1	2	1	7	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
0.03	north12_active	80	3307	534	289	377	76	148	169	266	152	171	34	23	19	59	36	61	52	5	13	4	33	4	5	13	3	3	2	1	0	11	0	0	1	9	9	0	0	1	0	1	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north13_all	80	4915	1510	868	717	410	331	274	341	245	239	98	82	61	94	65	76	70	18	38	21	40	13	14	18	13	13	6	8	4	14	4	10	3	12	15	0	2	3	3	1	1	3	7	0	6	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0
0.03	north13_active	80	3348	521	294	384	86	170	163	272	163	182	41	23	21	67	37	60	55	9	23	6	28	6	4	14	4	5	3	1	0	11	1	8	1	11	14	0	1	2	0	1	0	3	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
0.03	north14_all	80	4852	1456	845	700	418	350	270	336	254	239	97	80	67	90	63	78	59	19	38	18	46	12	18	18	14	13	6	10	7	7	4	9	3	9	10	1	3	3	4	0	1	4	5	0	6	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0
0.03	north14_active	80	3291	491	309	383	98	180	150	281	164	185	40	19	22	69	33	62	47	8	24	7	28	4	5	13	5	4	4	2	0	5	2	8	1	9	10	1	1	2	1	0	0	4	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0
0.03	north15_all	80	4873	1469	836	709	441	355	249	382	250	214	99	81	68	86	65	75	67	21	35	22	40	17	15	14	13	12	6	6	5	6	3	9	3	10	11	1	3	4	2	0	2	3	2	1	6	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	4	1	0	0
