label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79
0.03	north1_all	80	22092	4613	6323	1891	1279	2768	777	622	450	699	316	568	209	339	364	142	95	111	189	81	146	52	89	43	41	56	28	25	26	25	14	15	10	11	10	5	3	10	9	2	4	28	5	5	3	7	0	1	1	1	3	0	0	3	1	0	0	0	1	0	4	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
0.03	north1_active	80	18520	1587	5394	811	457	2445	316	175	112	533	144	472	58	277	323	73	40	34	165	51	123	13	61	18	26	41	9	5	21	22	5	7	2	5	5	1	3	8	5	1	3	26	5	3	1	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	23293	4603	6595	1891	1302	2922	794	609	465	707	321	632	205	368	360	130	96	107	245	83	158	47	71	46	39	44	24	19	27	40	12	15	12	7	8	6	6	9	5	4	5	31	15	3	2	8	0	2	1	1	1	0	0	1	2	0	3	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north2_active	80	19797	1633	5682	862	470	2578	344	174	117	550	147	528	68	304	310	69	42	40	220	45	134	16	50	18	28	33	7	5	22	40	5	8	2	5	3	1	6	8	4	3	4	28	15	1	1	7	0	0	0	0	1	0	0	0	1	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	23259	4555	6598	1944	1382	3048	787	614	452	666	321	638	199	318	359	150	98	95	236	79	142	58	75	43	47	41	25	24	24	54	14	16	11	6	6	12	9	10	2	5	6	21	15	2	3	11	0	3	1	2	1	0	1	2	1	0	3	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	19712	1672	5691	921	468	2704	331	161	115	517	147	535	67	269	296	84	43	41	214	37	121	20	53	16	26	32	6	5	16	51	10	9	2	4	3	4	6	10	1	4	5	18	15	0	1	11	0	1	0	0	1	0	0	0	1	0	3	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	23263	4537	6628	1963	1355	3093	750	591	470	651	308	667	192	340	331	140	101	78	266	75	130	60	94	44	48	38	24	24	17	63	8	18	12	5	10	10	6	7	3	7	9	25	16	6	2	13	1	3	2	3	0	0	1	4	2	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	19668	1650	5697	935	431	2733	313	158	111	497	140	553	63	274	267	77	40	36	249	34	107	22	71	16	20	28	4	4	9	54	6	11	4	4	6	3	3	6	2	6	8	22	15	4	1	13	0	1	0	0	0	0	0	1	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	22123	4602	6401	2010	1359	2904	742	610	457	603	324	659	198	319	356	141	104	71	242	66	143	52	110	37	51	42	23	26	18	40	11	10	8	8	11	10	11	12	5	8	8	16	12	4	2	9	2	3	1	2	0	0	1	4	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north5_active	80	18631	1655	5473	932	429	2549	291	154	110	449	134	554	59	254	287	80	40	32	219	28	121	16	84	15	22	31	5	4	11	30	8	5	3	3	7	4	4	11	4	7	7	16	10	4	1	9	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
