label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77
0.03	north1_all	80	16108	3824	3701	1562	1244	668	733	651	343	515	330	277	175	128	114	84	204	72	107	74	87	73	85	75	28	14	18	21	26	8	8	11	16	4	11	6	5	4	3	3	3	4	1	3	4	9	0	1	1	0	6	0	0	1	1	0	0	2	1	1	0	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	10394	2036	2347	830	722	282	411	382	150	316	184	156	88	52	54	37	128	28	58	45	57	51	53	62	15	6	7	12	18	4	4	2	8	2	4	2	3	3	2	1	1	2	0	2	3	4	0	1	0	0	5	0	0	1	1	0	0	2	1	1	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	16378	3797	3723	1606	1331	684	739	658	314	538	331	263	176	122	116	83	187	78	131	89	99	64	73	70	24	19	21	24	25	14	15	13	14	6	4	4	4	6	2	6	2	1	3	2	3	4	2	1	0	0	5	0	0	1	1	1	0	0	1	2	0	1	1	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	10564	2039	2361	860	804	290	421	365	145	335	178	139	88	54	59	33	123	28	80	60	61	43	45	63	12	7	10	13	18	10	5	2	9	4	2	1	2	4	2	2	1	0	1	2	2	2	1	1	0	0	4	0	0	1	1	1	0	0	1	1	0	1	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	16187	3821	3700	1611	1365	648	739	675	328	513	324	276	205	124	116	100	195	72	108	96	98	58	65	56	28	17	20	25	34	19	18	16	11	6	4	3	2	7	3	5	1	2	4	0	4	2	2	1	0	0	6	0	0	1	1	2	0	1	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	10478	2057	2350	860	818	278	433	390	158	329	170	160	115	59	62	38	122	24	78	64	63	36	42	50	15	6	8	13	21	9	8	2	5	4	3	1	2	5	2	2	1	0	1	0	2	1	1	1	0	0	5	0	0	1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	16396	3868	3741	1597	1349	652	758	686	340	537	342	285	218	126	128	96	218	76	121	102	99	55	61	54	38	16	14	21	33	20	18	14	12	8	3	4	1	7	2	5	1	1	3	1	2	3	3	0	1	0	5	0	0	0	1	3	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	10676	2081	2396	838	799	310	439	406	164	343	187	174	124	66	61	41	156	28	80	70	64	39	42	44	25	6	5	10	20	8	7	2	8	4	2	0	1	5	1	1	1	0	1	1	1	2	1	0	1	0	5	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	16392	3864	3771	1587	1303	627	720	681	352	550	328	320	221	127	112	95	210	73	114	109	92	61	78	58	39	13	13	19	26	22	13	17	11	7	3	7	3	4	2	2	4	1	3	1	2	2	2	0	2	0	1	0	0	1	1	2	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	10584	2127	2407	855	758	292	407	430	163	361	182	199	136	62	44	47	157	38	72	72	64	39	54	44	30	5	4	8	17	10	5	4	6	3	2	0	2	4	1	0	4	0	1	1	1	2	1	0	1	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	16490	3906	3782	1615	1298	612	706	647	359	562	305	349	205	131	122	88	213	72	109	105	92	61	75	71	46	12	16	18	22	15	9	17	10	4	6	8	3	3	5	2	3	1	0	1	1	3	1	1	2	1	1	0	1	1	1	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	10585	2129	2385	856	755	280	383	414	170	374	172	202	118	65	40	49	135	39	63	71	68	38	55	54	33	3	7	9	16	9	4	7	7	1	4	1	1	3	4	0	3	0	0	1	1	3	0	1	1	1	1	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	16422	3841	3766	1645	1279	639	721	633	345	530	290	350	203	127	120	72	198	73	94	107	113	57	71	66	45	12	15	19	19	17	11	15	14	4	8	5	4	2	5	2	4	2	0	0	1	5	3	2	3	2	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	10551	2077	2367	872	746	286	385	400	166	347	155	198	109	56	42	36	124	40	50	67	76	32	53	52	28	3	8	10	14	11	5	8	8	1	5	1	1	0	4	1	3	2	0	0	1	5	1	2	2	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	16482	3863	3784	1622	1277	656	722	620	346	526	283	339	200	127	121	77	227	63	94	104	110	67	69	77	46	16	15	10	27	21	16	17	13	8	9	5	4	5	7	5	4	3	2	0	2	4	3	3	2	4	2	0	1	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	10639	2046	2342	874	729	291	379	404	176	350	151	193	98	50	49	34	137	33	54	64	64	41	52	60	26	3	9	6	19	15	10	9	9	3	6	1	2	2	4	1	3	2	2	0	1	4	1	2	2	3	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	16523	3958	3770	1604	1237	696	729	662	323	470	287	317	215	135	114	87	205	65	102	132	117	78	63	66	53	18	17	13	28	28	20	15	14	12	11	2	3	6	3	5	4	3	3	0	2	3	3	3	2	6	2	0	0	0	0	0	2	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	10717	2118	2384	855	682	317	394	412	165	300	159	179	117	59	53	38	136	34	64	87	69	47	48	51	27	3	9	4	19	21	12	7	10	6	6	1	1	3	1	1	3	2	3	0	1	3	1	2	2	5	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	16552	3987	3824	1497	1262	670	709	672	327	461	315	321	227	135	103	99	200	60	106	119	99	95	56	55	56	19	19	11	33	34	19	14	7	13	15	3	4	7	4	7	3	3	3	0	2	0	1	1	1	4	0	0	0	0	0	0	2	0	1	1	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	10753	2121	2475	790	705	326	389	417	154	292	184	182	124	62	46	41	133	29	66	73	58	65	41	41	32	4	9	3	22	27	13	9	6	6	7	1	1	4	2	2	3	2	3	0	1	0	1	0	1	4	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	16218	3890	3603	1555	1254	719	750	628	338	531	297	337	211	128	113	82	177	88	126	87	123	59	52	51	35	18	13	15	33	19	15	7	6	3	6	10	2	8	5	3	4	5	3	1	2	2	1	1	1	1	2	1	3	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	10435	2097	2269	832	696	343	421	388	163	334	167	199	114	54	54	38	121	44	81	54	93	23	28	29	26	12	5	6	24	5	10	4	4	1	4	5	2	4	3	3	1	3	0	1	0	1	0	1	0	1	0	1	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	16043	3813	3647	1586	1298	701	772	627	333	514	314	354	207	115	122	69	174	81	104	108	121	76	61	57	40	16	21	12	35	27	12	11	6	5	4	9	3	6	7	4	7	6	2	2	3	3	2	2	3	1	3	2	3	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north12_active	80	10303	2044	2360	839	727	323	438	379	160	311	174	195	102	54	57	30	112	39	54	69	78	42	32	32	29	11	8	8	24	10	9	6	4	1	3	5	2	4	3	3	2	3	0	2	0	1	1	1	2	1	0	1	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north13_all	80	16019	3853	3650	1567	1320	688	775	651	338	500	284	341	201	115	124	82	203	75	109	108	114	82	55	47	40	18	21	12	41	22	12	10	6	7	6	5	2	6	7	5	6	6	2	1	3	1	1	1	5	1	2	1	2	2	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
0.03	north13_active	80	10272	2069	2337	830	733	317	455	419	167	302	151	195	87	51	54	43	134	35	49	66	67	46	30	22	24	10	6	6	18	11	9	7	3	4	5	4	1	4	2	3	2	3	1	1	0	0	1	0	3	0	0	0	1	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
0.03	north14_all	80	16400	3805	3706	1589	1308	670	734	691	305	498	290	333	190	121	107	88	200	65	111	108	108	84	67	50	35	23	21	13	51	19	14	10	8	7	5	4	1	8	5	7	6	6	2	1	3	1	2	2	4	1	1	1	4	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0
0.03	north14_active	80	10595	2048	2386	839	738	296	412	444	153	312	149	192	77	59	48	40	121	35	53	66	65	51	46	23	20	12	7	9	23	10	9	7	5	4	5	4	0	5	1	4	2	2	1	1	0	0	2	0	3	0	0	0	3	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
0.03	north15_all	80	16649	3777	3708	1518	1289	685	709	671	307	541	296	344	207	134	93	98	213	59	111	112	107	75	75	48	33	20	16	15	46	23	9	11	13	10	4	4	0	7	5	6	2	3	3	1	2	0	3	2	2	1	2	1	2	1	0	0	0	0	1	0	3	0	0	1	0	0	0	1	0	0	2	1	1	0	0	0	0	0
0.03	north15_active	80	10794	2049	2347	800	754	302	402	418	160	354	159	203	96	61	43	45	124	31	63	68	73	41	51	23	18	8	8	8	22	13	5	8	10	5	4	3	0	3	1	4	1	1	1	0	0	0	3	0	1	0	0	0	2	1	0	0	0	0	1	0	3	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	0
0.03	north16_all	80	16559	3783	3815	1518	1241	675	719	688	314	548	321	338	216	130	100	99	192	60	99	103	104	81	71	53	27	20	18	13	25	22	9	10	13	12	6	7	1	9	2	5	3	2	3	1	1	0	3	2	2	0	1	2	3	1	0	0	0	0	1	0	4	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0
0.03	north16_active	80	10727	2069	2418	796	743	298	403	414	147	365	186	210	113	63	51	41	113	28	48	62	72	48	49	24	13	10	11	7	17	14	6	8	10	6	4	5	0	2	1	4	1	1	0	0	0	0	2	0	2	0	0	0	3	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north17_all	80	16297	3757	3775	1481	1234	678	746	658	317	578	305	340	214	131	109	89	188	60	107	105	77	77	68	60	33	16	18	10	28	31	15	11	13	8	5	7	1	8	1	3	2	1	4	1	3	0	2	2	2	1	1	2	2	1	0	0	0	1	2	0	3	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0
0.03	north17_active	80	10585	2111	2341	771	712	299	412	372	151	380	180	206	121	65	48	35	114	23	62	68	49	41	39	29	16	8	12	4	22	22	9	9	7	2	2	4	0	1	0	2	1	1	1	0	1	0	1	0	2	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0
0.03	north18_all	80	16363	3734	3705	1532	1231	651	717	647	304	568	292	308	206	141	117	86	184	64	112	93	84	90	70	66	33	15	15	12	34	26	16	12	15	5	6	7	1	7	1	6	2	3	6	0	2	0	1	2	3	1	0	1	1	1	0	1	0	1	1	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
0.03	north18_active	80	10590	2093	2321	803	683	295	396	379	142	369	170	175	114	68	49	37	111	22	62	66	57	48	34	33	16	7	9	4	30	18	11	10	8	1	3	3	0	0	0	5	1	1	3	0	1	0	0	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
0.03	north19_all	80	16202	3791	3695	1584	1303	684	754	596	300	554	312	274	211	150	113	91	175	68	132	119	75	81	75	55	43	12	13	15	39	25	16	8	15	5	10	3	5	7	1	9	2	6	5	0	2	1	1	3	4	1	0	1	1	1	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0
0.03	north19_active	80	10422	2122	2291	843	733	315	415	351	128	352	176	141	126	77	48	42	111	28	77	78	46	44	40	27	27	8	7	5	31	18	10	5	4	3	7	1	4	3	0	6	0	2	3	0	1	0	0	1	4	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0
0.03	north20_all	80	16033	3871	3738	1627	1285	662	718	613	328	548	329	276	205	147	105	91	176	59	149	106	84	85	67	61	49	17	16	15	44	15	17	8	14	5	10	4	6	6	1	9	1	7	3	0	2	1	0	3	2	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0
0.03	north20_active	80	10192	2157	2303	890	742	304	399	362	141	347	182	134	116	75	53	43	116	25	92	66	50	53	36	33	33	9	7	5	28	10	12	4	5	5	9	1	4	4	0	7	0	1	2	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
0.03	south21_all	80	12245	4140	2726	3232	1167	1565	1175	576	660	383	332	192	258	344	94	92	114	78	75	101	34	93	44	85	33	55	34	25	13	17	12	9	20	17	5	3	8	11	2	6	4	9	4	2	3	1	0	0	1	2	0	5	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0
0.03	south21_active	80	7382	2366	1581	2100	614	998	721	302	413	256	191	96	147	230	38	38	71	36	36	60	20	62	23	54	24	24	25	17	8	10	8	3	10	10	3	2	7	7	2	4	1	2	1	0	3	1	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	south22_all	80	12292	4208	2706	3156	1140	1614	1196	585	666	384	333	189	254	375	90	88	110	65	71	106	45	89	50	89	31	49	38	25	17	18	16	11	20	11	4	2	7	11	2	4	6	13	4	1	0	1	0	0	3	2	0	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0
0.03	south22_active	80	7396	2426	1545	2043	604	1028	769	325	433	225	185	91	138	243	39	34	66	28	37	60	25	58	26	58	22	17	28	15	13	8	10	7	10	6	3	2	4	9	2	4	2	1	2	0	0	1	0	0	3	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	south23_all	80	12372	4191	2701	3081	1108	1569	1175	560	696	414	365	189	258	393	78	79	119	56	66	92	37	62	52	82	37	40	51	27	18	16	14	13	14	9	5	3	9	12	2	3	6	11	3	0	0	1	4	0	3	2	1	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
