label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72
0.03	north1_all	80	6207	2820	1656	1148	826	1012	423	382	286	268	190	204	229	123	78	113	116	235	39	50	53	26	22	45	31	27	22	21	22	14	12	16	7	4	5	5	5	10	3	5	4	1	2	2	1	1	1	1	0	0	0	2	3	0	2	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2148	1072	501	329	232	733	101	182	70	108	41	102	185	60	24	78	88	215	19	21	20	7	10	36	14	17	6	12	17	4	6	9	3	1	3	1	3	7	0	4	2	1	0	0	1	1	0	1	0	0	0	1	3	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6124	2816	1653	1147	804	1016	448	388	314	270	182	215	249	134	82	112	129	228	43	47	58	27	27	53	32	29	21	26	36	10	16	18	5	6	5	7	4	8	4	1	5	2	5	2	2	3	3	1	0	0	0	2	1	0	2	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2143	1061	510	320	207	747	95	176	77	111	41	108	202	68	24	73	100	208	19	19	19	9	10	41	21	18	9	13	32	3	8	12	1	4	2	3	1	5	1	1	4	2	1	0	2	3	2	0	0	0	0	1	1	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6170	2768	1668	1182	788	1015	465	419	318	253	195	191	243	135	103	90	139	206	39	59	42	26	32	55	31	27	26	19	38	11	13	16	5	6	8	7	4	4	5	1	4	3	6	2	1	6	6	1	1	0	0	2	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2181	1066	544	331	198	766	108	191	70	106	50	88	193	69	26	54	111	189	15	28	12	9	11	44	21	13	15	9	34	3	7	11	2	4	5	3	1	4	2	1	4	3	2	0	1	6	4	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6242	2772	1678	1156	772	1087	490	422	298	270	183	209	245	153	105	95	152	272	42	66	40	31	33	61	23	28	21	22	42	10	8	12	7	4	18	6	3	2	4	1	4	3	5	1	1	6	7	1	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2308	1107	569	346	192	833	121	213	68	114	50	98	196	81	26	60	124	253	14	34	9	8	11	53	16	15	15	10	38	3	4	8	4	4	14	3	1	2	4	1	3	3	2	0	1	6	5	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6255	2767	1682	1159	775	1048	492	435	312	278	179	197	214	148	121	89	157	302	45	65	38	36	37	67	26	25	18	19	31	11	6	8	7	4	22	3	6	1	4	1	5	3	1	0	2	5	5	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2334	1074	564	361	206	804	128	229	72	120	46	96	162	76	29	55	129	286	15	36	11	6	18	61	11	12	10	5	27	3	2	4	4	3	20	2	1	0	4	1	4	2	1	0	1	5	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
