label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83
0.03	north1_all	80	7529	10522	2316	2737	1935	810	691	918	454	311	620	240	213	152	123	94	87	147	72	57	58	39	57	51	51	34	39	80	19	20	13	16	5	13	17	4	10	14	5	7	6	26	2	12	0	3	12	4	2	0	1	2	1	1	0	0	3	1	1	2	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3334	9479	1284	2231	1583	389	397	729	230	128	548	140	90	39	58	25	26	114	17	12	37	18	32	35	38	19	27	70	8	10	6	5	1	4	13	0	8	13	2	2	2	24	1	11	0	3	11	3	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	7436	10981	2323	2729	1948	786	721	945	434	325	614	234	208	145	124	104	91	164	72	51	53	41	64	54	59	33	64	68	22	26	15	16	6	9	24	5	12	22	4	9	3	25	4	9	2	4	17	3	1	0	1	1	3	1	3	0	4	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	3272	9927	1276	2187	1601	373	417	756	214	136	527	134	86	40	57	26	21	133	16	12	35	20	33	34	49	19	49	58	12	14	6	4	1	3	20	1	9	18	2	3	1	23	3	8	0	4	17	3	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	7539	11044	2306	2773	1992	817	722	920	446	353	641	225	187	148	120	105	90	160	71	50	64	40	57	60	52	36	59	62	28	22	18	13	7	9	15	9	6	23	6	7	1	18	6	6	2	4	13	0	1	1	0	3	2	6	3	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
0.03	north3_active	80	3290	10014	1286	2228	1616	387	424	739	219	163	551	126	71	42	53	30	23	132	18	12	40	16	28	33	43	18	52	52	17	13	9	3	2	4	13	2	4	18	4	2	1	18	3	6	0	4	13	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	7592	10785	2297	2830	1996	865	699	908	402	362	694	235	184	142	123	96	95	147	77	61	64	46	51	59	43	31	71	66	32	22	16	15	9	7	14	12	4	13	5	7	0	6	6	0	4	3	15	0	1	1	1	2	2	6	3	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	3261	9772	1292	2291	1611	401	393	725	193	178	612	139	74	45	57	27	23	123	20	17	33	22	22	35	34	15	65	56	21	12	8	7	3	3	12	2	1	9	3	3	0	5	4	0	0	3	15	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	7669	10464	2365	2938	1985	832	681	860	406	359	741	248	188	132	126	90	91	128	71	66	76	45	38	51	26	23	87	72	36	18	17	14	14	4	11	11	7	10	5	5	0	6	7	1	5	2	19	1	1	1	1	2	2	5	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1
0.03	north5_active	80	3279	9440	1321	2413	1576	378	378	691	189	174	665	147	72	44	63	19	23	108	17	21	43	19	15	32	19	13	83	63	21	8	10	7	7	2	10	1	3	9	4	2	0	4	5	1	0	2	19	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north6_all	80	7609	10419	2331	2908	2048	823	666	912	407	339	737	271	183	137	144	103	98	131	73	66	74	51	36	45	34	25	77	65	31	18	12	19	14	4	11	8	7	9	10	4	0	16	5	3	5	5	22	1	2	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
0.03	north6_active	80	3244	9412	1292	2391	1643	373	373	720	181	155	667	159	67	43	77	23	23	106	17	24	46	23	19	37	26	14	72	59	20	8	7	6	8	2	10	1	2	9	7	1	0	14	5	3	1	4	22	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north7_all	80	7583	10419	2318	2838	2091	796	654	930	407	320	674	284	182	139	145	109	93	163	61	69	69	46	41	46	40	24	66	68	36	14	13	18	16	7	17	7	5	5	9	3	3	13	4	3	3	5	21	1	1	1	0	0	0	2	10	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
0.03	north7_active	80	3200	9369	1267	2321	1700	362	371	749	185	137	608	166	58	43	75	27	24	130	13	24	42	14	20	33	31	16	62	63	27	7	7	4	9	1	16	2	2	5	7	1	1	11	4	3	1	3	21	1	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
