label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93
0.03	north1_all	80	11792	2750	1824	1456	1050	1475	721	724	329	316	368	489	242	254	210	134	113	129	78	73	91	109	54	43	57	40	32	54	26	29	36	23	20	12	11	8	17	23	7	9	10	3	13	6	7	4	5	4	0	3	2	2	1	0	2	0	0	1	2	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	7236	1270	868	761	530	922	378	435	167	159	206	335	138	130	105	69	66	72	43	31	51	65	29	19	36	25	15	33	17	20	25	15	9	5	4	3	12	16	5	7	3	2	8	3	4	2	1	2	0	0	2	1	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	11404	2670	1767	1402	1005	1458	744	683	335	291	378	499	223	220	204	121	131	111	76	70	85	94	45	51	68	38	28	45	27	38	28	24	20	15	9	6	14	13	7	13	8	5	12	7	9	5	6	5	3	2	2	1	1	0	2	4	0	1	2	0	1	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	6930	1216	840	754	506	918	392	413	169	149	207	345	113	128	101	61	72	64	38	31	48	48	21	24	44	23	10	27	17	30	21	17	7	9	6	3	8	10	3	7	3	5	8	4	6	2	0	3	1	0	2	1	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	10898	2666	1730	1313	999	1319	716	696	345	268	327	470	224	229	195	117	139	104	76	54	86	99	49	54	61	43	27	48	20	32	24	21	14	11	7	6	7	4	8	13	11	7	7	11	9	5	5	6	3	3	1	2	1	1	2	4	0	2	3	0	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	6616	1203	785	717	488	798	377	411	168	142	180	319	119	135	104	65	80	61	38	23	48	54	20	29	39	25	12	29	11	24	14	15	5	8	5	2	4	4	4	7	6	6	5	9	8	2	0	3	1	0	1	1	1	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	11133	2709	1759	1323	1000	1370	747	703	345	275	325	473	221	258	213	123	144	105	76	61	86	102	37	50	59	46	29	50	27	29	26	19	19	14	5	9	7	3	14	14	10	15	3	11	4	4	2	4	4	1	0	2	0	1	1	4	0	2	1	0	3	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	6768	1225	793	738	498	816	409	411	156	146	179	294	114	161	115	62	79	59	45	27	50	57	13	28	38	29	13	29	18	20	14	12	10	7	2	6	5	2	8	7	6	12	1	8	4	1	0	3	1	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	11693	2738	1763	1445	1022	1444	738	708	356	286	304	527	244	258	227	140	142	114	72	57	89	103	40	46	56	51	28	60	23	33	18	10	17	10	7	9	13	7	12	12	15	17	4	12	5	4	2	4	2	1	0	3	1	1	0	0	0	1	1	0	2	1	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	7215	1234	827	805	506	866	421	431	157	153	184	317	134	161	125	77	85	67	44	23	59	63	18	26	34	33	12	47	15	17	8	7	7	4	4	5	10	4	8	5	9	13	3	9	4	1	1	2	1	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
