label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87
0.03	north1_all	80	4235	1629	1079	1471	964	385	440	270	357	198	126	132	252	167	66	53	82	58	54	43	110	30	20	94	19	57	14	14	39	44	13	7	7	6	8	6	19	2	13	4	6	18	7	4	5	6	0	3	8	1	3	2	1	0	0	3	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
0.03	north1_active	80	2344	516	463	1208	750	133	299	106	279	109	43	37	211	136	10	13	55	10	19	9	100	6	10	86	5	55	8	2	35	43	10	2	5	1	1	2	19	0	13	4	2	17	5	2	4	3	0	3	7	1	3	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
0.03	north2_all	80	4247	1632	1114	1532	970	378	432	274	372	196	129	121	260	171	80	59	74	56	45	42	111	28	20	95	27	67	15	12	37	40	24	10	9	5	7	10	12	1	22	11	5	14	5	5	3	4	0	4	2	1	3	3	0	1	1	2	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
0.03	north2_active	80	2350	532	498	1283	759	140	310	108	293	120	46	34	217	124	14	18	47	7	14	4	101	4	9	84	11	64	8	1	33	40	22	3	6	0	1	7	12	0	22	11	2	13	3	3	2	3	0	4	1	1	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
0.03	north3_all	80	4296	1647	1115	1551	962	397	442	278	390	181	129	119	258	157	87	57	58	52	41	38	131	23	26	78	29	62	17	11	33	25	28	11	11	5	6	15	15	3	28	15	4	10	3	6	5	3	5	17	5	1	2	4	0	2	1	2	0	8	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2450	550	525	1297	748	155	317	127	313	106	47	35	211	110	18	19	32	11	10	6	124	3	13	68	11	58	9	1	27	25	25	3	9	1	1	8	15	0	28	15	1	8	3	5	3	3	5	17	5	1	2	4	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4315	1632	1104	1593	969	394	441	285	386	182	136	113	258	141	85	70	47	48	36	39	126	21	18	71	29	56	17	12	29	29	45	7	12	5	7	12	23	3	23	16	5	17	6	6	6	1	8	17	5	1	2	2	0	2	1	0	0	8	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2450	522	541	1319	748	145	301	119	304	106	45	31	219	84	23	23	23	12	8	10	116	3	7	64	14	49	7	0	23	27	39	1	8	3	0	7	23	1	23	16	2	15	3	6	5	1	8	17	5	1	1	2	0	1	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4352	1689	1093	1649	1012	398	446	263	367	191	147	124	276	128	79	60	54	49	34	34	150	18	29	72	19	70	14	8	36	23	45	8	19	4	6	10	15	5	22	10	5	16	6	7	12	2	8	13	5	1	2	5	0	1	1	0	0	7	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2464	531	529	1355	772	143	298	105	286	114	47	36	240	78	25	23	29	12	7	11	137	3	15	67	8	63	7	0	26	21	40	2	14	4	0	6	15	2	20	9	1	14	3	6	11	2	8	13	5	1	1	5	0	1	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	4337	1678	1080	1617	1078	388	436	254	354	220	137	135	247	153	79	60	68	52	35	39	164	19	31	60	20	74	13	8	33	30	38	6	13	6	5	4	23	4	5	7	6	13	5	10	13	1	8	0	3	2	2	4	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north6_active	80	2423	505	516	1332	853	136	277	94	264	137	40	44	218	101	19	21	38	11	8	17	150	2	14	59	7	65	4	0	23	28	35	1	9	5	0	2	21	2	3	6	1	13	2	9	13	1	8	0	3	1	1	4	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
