label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106
0.03	north1_all	80	8658	4250	2765	3438	2282	1017	976	705	505	571	400	570	265	248	242	198	173	144	118	122	118	190	87	85	60	58	49	81	50	68	36	75	38	68	30	14	12	25	15	29	16	11	13	11	9	8	4	19	5	11	5	5	3	21	1	2	7	14	0	2	2	1	3	1	1	0	16	1	0	1	3	1	0	0	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
0.03	north1_active	80	3370	1720	1345	2833	1734	316	579	295	195	340	148	421	60	86	134	92	43	86	32	45	39	156	30	51	35	28	28	61	15	47	24	67	26	65	20	4	4	12	7	25	7	3	8	4	4	4	2	13	2	8	3	3	1	21	0	1	6	13	0	0	2	1	2	0	0	0	15	1	0	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_all	80	8698	4132	2698	3242	2067	1005	940	693	470	570	395	591	254	247	248	204	181	148	121	117	117	167	79	77	59	61	44	77	48	61	41	70	37	47	27	15	13	23	19	26	13	17	9	13	11	11	9	14	6	11	5	4	5	22	2	2	6	6	0	1	2	1	3	0	1	0	15	2	0	1	3	1	1	0	0	1	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_active	80	3168	1615	1227	2603	1523	292	534	274	169	331	149	430	63	85	129	93	35	82	35	45	45	131	23	53	30	21	23	53	15	42	29	62	23	42	16	5	5	13	9	23	6	8	4	5	4	7	1	8	2	7	4	3	1	21	1	1	4	4	0	0	2	1	3	0	0	0	15	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_all	80	8779	4058	2688	2947	1958	984	945	651	479	561	382	531	265	251	248	194	165	146	127	105	107	139	85	79	53	60	38	63	53	44	40	46	35	53	20	16	17	22	17	15	12	20	12	11	9	13	12	8	5	6	6	5	4	21	3	2	7	6	1	0	2	0	1	2	2	2	2	2	0	1	2	0	1	0	1	1	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3061	1527	1124	2263	1404	265	507	241	159	319	128	365	55	85	130	80	32	70	35	35	45	106	24	48	24	21	20	35	17	30	25	39	16	47	12	5	9	9	8	13	3	10	6	3	3	10	1	4	0	4	3	3	0	20	2	1	5	2	0	0	2	0	1	1	1	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	8688	3958	2600	2834	1826	958	874	656	502	546	397	511	263	247	250	186	160	151	126	106	85	149	91	80	57	57	30	52	47	51	41	39	30	56	17	18	22	18	16	23	13	18	13	14	8	19	12	7	6	5	5	3	2	13	3	3	3	7	2	0	1	0	1	2	3	3	0	2	1	1	2	1	2	0	1	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2877	1446	1023	2108	1254	221	443	225	162	307	125	347	65	85	124	75	38	70	38	32	27	115	22	39	19	25	14	23	15	35	26	29	12	48	10	5	9	8	7	18	3	11	4	4	3	16	1	3	1	4	1	2	0	11	2	1	1	4	0	0	1	0	1	1	2	3	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	8786	4042	2606	2982	1981	990	918	658	535	562	393	507	252	239	243	185	156	150	145	100	90	160	85	95	69	53	31	60	33	43	38	46	26	60	22	22	25	14	13	23	14	13	13	15	5	17	9	6	7	3	4	3	1	3	2	2	2	6	3	0	2	0	0	2	4	3	0	0	11	2	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	3043	1544	1057	2273	1427	255	460	231	195	335	128	365	62	84	122	78	37	63	46	30	28	129	21	47	29	26	11	34	14	31	24	35	11	53	13	4	8	6	3	17	4	7	4	5	1	15	1	3	2	2	0	1	0	2	1	0	1	4	0	0	2	0	0	1	2	3	0	0	11	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
