label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123
0.03	north1_all	80	12428	6504	1825	1794	1161	1681	1348	642	441	468	342	250	562	170	166	379	113	141	125	99	101	80	128	74	65	76	59	91	37	39	46	29	38	62	22	35	18	27	21	11	36	22	14	11	7	26	13	12	10	6	2	1	4	12	8	3	4	12	20	2	1	0	1	4	2	1	0	1	2	2	5	0	1	2	0	1	0	0	3	3	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	7961	4135	915	1006	656	1064	897	361	241	287	166	132	396	79	82	252	60	83	62	53	50	37	75	46	32	48	33	46	29	23	30	15	27	38	10	22	8	12	8	2	24	16	9	5	5	23	6	7	6	5	1	0	0	9	7	2	3	9	18	1	1	0	1	3	0	1	0	1	1	2	4	0	1	2	0	1	0	0	3	2	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	12257	6382	1805	1743	1135	1670	1407	631	447	509	345	243	481	183	172	309	135	142	146	86	95	84	143	67	58	73	43	121	46	44	52	21	32	77	21	29	13	28	19	12	46	23	13	10	7	16	13	10	12	3	2	1	4	15	8	6	5	12	21	3	2	0	1	5	2	0	0	1	1	1	2	4	0	1	0	1	0	2	3	3	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	7844	4041	917	973	611	1064	949	341	243	310	176	128	311	81	90	193	73	88	75	43	45	43	87	43	29	43	21	79	29	25	37	12	19	50	9	17	8	14	7	3	29	17	9	5	4	13	8	5	9	1	2	0	0	12	8	5	4	9	17	2	1	0	1	4	1	0	0	0	0	1	1	0	0	1	0	1	0	1	3	2	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	12447	6352	1783	1705	1167	1621	1362	625	426	501	333	225	466	194	180	285	130	123	135	92	87	91	161	61	45	69	47	137	47	44	42	24	30	83	22	22	19	27	16	11	34	25	6	13	11	13	9	16	11	7	5	2	1	14	6	7	4	6	14	3	5	0	2	5	2	2	0	1	1	1	2	5	0	5	0	1	0	2	3	1	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	7967	4076	880	944	633	1030	916	324	235	302	175	119	311	89	92	168	60	79	71	41	44	44	110	34	19	45	21	92	26	27	32	11	18	55	8	13	10	15	7	3	22	19	3	5	7	8	4	12	8	3	4	1	0	11	6	5	3	4	7	2	2	0	1	4	1	1	0	0	0	1	1	0	0	1	0	1	0	1	3	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	12380	6350	1702	1703	1148	1631	1352	614	437	486	312	223	415	184	182	307	130	134	145	80	94	68	166	61	50	72	45	126	51	40	40	20	26	59	21	24	22	22	12	13	33	31	4	8	14	13	9	15	11	10	6	1	5	9	4	10	1	3	17	3	5	1	2	1	3	4	0	3	0	0	1	5	0	5	0	2	0	2	0	1	1	0	0	2	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north4_active	80	7844	4147	859	943	625	1052	912	326	223	283	159	115	269	90	94	190	51	82	78	34	45	30	115	26	26	38	15	86	25	21	33	9	15	40	7	15	12	13	7	6	22	21	3	1	8	9	5	11	9	4	3	1	2	9	3	7	1	1	2	2	2	0	1	1	2	2	0	2	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	12362	6337	1768	1698	1208	1689	1357	624	441	436	320	224	406	185	182	318	130	130	140	82	89	70	156	46	43	68	52	110	46	35	43	21	27	45	18	25	21	23	6	11	32	25	9	11	12	12	13	14	19	11	6	2	4	6	5	8	1	2	16	12	5	3	4	0	1	4	0	2	0	1	1	5	0	5	0	1	0	0	0	0	1	0	1	2	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	7829	4138	883	962	689	1153	875	337	216	236	162	112	270	99	90	195	48	78	79	43	55	26	103	19	21	35	24	73	21	14	33	7	15	30	5	18	10	11	4	4	20	18	7	3	8	8	6	11	17	5	2	1	2	5	3	6	0	1	2	12	2	1	2	0	1	2	0	2	0	0	1	3	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	12242	6439	1729	1676	1223	1764	1343	621	441	451	346	228	475	186	178	309	136	125	137	84	80	61	143	57	48	68	52	93	43	38	44	17	25	36	22	27	23	20	11	9	22	25	12	15	14	13	11	13	14	5	6	3	7	4	3	8	4	3	9	16	2	3	3	0	3	3	0	2	1	2	0	3	0	1	0	1	1	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north6_active	80	7802	4195	885	945	713	1217	875	350	219	245	167	114	325	100	86	203	47	74	75	49	47	24	79	24	27	35	24	52	21	15	33	9	14	24	12	20	12	10	6	3	17	17	8	7	9	9	6	10	12	2	2	2	4	2	1	6	1	3	1	12	2	1	2	0	1	1	0	2	0	1	0	3	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	12226	6455	1795	1705	1198	1738	1362	626	436	469	360	240	543	172	177	305	138	118	130	97	79	70	170	51	50	61	51	89	42	37	46	23	26	40	22	27	16	16	19	10	17	12	15	15	13	13	14	11	16	5	5	4	6	5	4	4	5	6	0	15	2	2	3	2	2	0	0	2	2	2	0	3	1	2	0	0	2	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	7836	4131	929	992	701	1164	863	355	220	265	176	120	376	93	79	203	66	63	69	50	43	30	100	29	25	31	26	51	18	20	31	14	17	27	12	18	9	9	11	4	13	6	9	9	8	10	9	7	15	3	2	3	4	1	0	4	2	3	0	11	2	1	2	1	0	0	0	2	0	1	0	3	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	12141	6449	1768	1660	1187	1735	1398	594	417	502	343	253	507	177	164	304	131	141	128	99	76	65	167	59	56	70	41	92	36	41	33	18	33	52	19	21	15	19	24	10	11	9	11	17	13	12	10	12	13	3	5	8	6	6	4	5	4	9	3	7	1	0	1	2	3	0	0	0	2	3	0	0	1	1	0	0	2	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	7803	4096	919	966	682	1140	879	336	222	309	173	121	350	88	80	184	62	78	69	48	38	35	103	36	28	38	19	57	14	28	20	10	21	37	10	8	9	10	12	6	5	4	6	11	9	8	7	9	12	2	3	5	3	1	2	5	2	6	2	3	1	0	1	1	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	11942	6310	1718	1679	1157	1708	1416	599	394	497	342	253	521	176	159	313	123	148	133	96	80	73	183	64	62	72	41	106	36	41	37	22	31	50	15	24	12	26	23	8	11	5	9	11	8	11	10	14	13	3	4	9	5	6	4	3	2	10	3	6	1	2	1	2	4	0	0	0	2	1	0	0	1	2	0	0	2	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north9_active	80	7682	4001	873	987	649	1087	911	351	202	301	171	119	346	89	78	188	60	81	70	45	38	40	125	39	34	40	16	66	12	28	20	11	18	35	7	10	5	16	13	8	4	0	4	8	5	9	7	10	11	1	3	6	1	1	2	2	2	6	2	3	0	1	1	1	1	0	0	0	0	1	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north10_all	80	11436	5912	1700	1651	1143	1581	1289	577	394	454	323	251	458	168	164	300	121	156	125	84	81	73	156	64	55	75	35	110	42	32	42	24	32	39	13	22	10	25	17	10	25	9	13	14	8	8	11	10	8	4	7	7	4	6	4	2	1	9	4	4	2	2	1	3	3	3	3	2	2	2	2	1	0	3	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north10_active	80	7308	3743	846	944	635	989	841	340	200	278	165	112	310	79	78	173	56	91	69	40	43	32	98	40	27	42	15	70	19	19	21	11	17	27	6	11	5	12	9	9	18	2	10	8	3	6	8	7	5	2	3	4	2	3	3	1	1	6	3	3	1	1	0	1	1	3	0	1	0	1	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north11_all	80	12441	6519	1790	1672	1259	1656	1416	599	418	479	379	237	583	205	167	312	136	144	125	67	88	74	114	65	61	66	48	89	33	46	41	34	25	40	15	30	13	15	13	15	37	11	15	10	12	13	7	8	11	4	10	1	7	6	6	8	4	6	7	1	1	0	1	2	1	1	1	2	1	1	2	1	4	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north11_active	80	7979	4196	874	978	699	1074	916	315	217	291	215	108	398	106	72	211	76	98	68	27	45	35	84	34	29	41	26	59	18	25	30	23	14	22	4	22	7	8	11	5	20	7	7	8	10	6	6	4	8	1	4	0	3	2	3	6	3	4	2	1	0	0	0	2	0	1	0	0	1	0	0	1	3	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	12455	6480	1785	1646	1241	1687	1392	581	420	451	357	233	575	194	169	289	130	137	120	76	84	72	132	65	54	70	52	82	34	45	42	41	21	48	13	23	16	8	18	17	42	9	11	15	10	17	10	7	4	6	11	2	3	4	5	7	3	10	8	1	2	1	2	1	1	2	3	3	2	1	2	0	4	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north12_active	80	8036	4214	851	964	689	1101	893	300	230	255	208	114	416	98	82	205	68	81	63	29	48	32	95	39	25	45	31	55	18	24	26	30	13	30	5	11	7	3	15	8	23	4	5	11	6	9	8	3	3	5	4	0	1	2	3	5	1	7	3	1	0	1	0	1	0	1	2	2	1	0	0	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	12493	6510	1788	1678	1211	1681	1375	570	429	463	338	223	544	177	174	283	123	129	149	89	86	74	181	64	54	78	54	92	40	46	43	36	29	52	12	24	22	14	15	14	31	10	9	13	9	14	16	5	13	9	11	5	6	4	5	5	4	8	7	1	1	3	2	1	1	2	3	5	1	3	1	0	1	0	0	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
