label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125
0.03	north1_all	80	5290	2502	4053	3582	1421	894	659	459	1091	315	450	433	198	209	321	567	602	324	201	101	108	74	71	91	63	48	49	35	124	31	43	35	29	26	19	92	18	23	12	21	11	13	11	11	6	10	9	3	17	18	4	5	14	6	9	30	6	16	4	4	2	2	2	3	0	2	2	1	2	2	1	1	4	1	7	0	1	2	1	0	1	2	0	0	1	1	0	1	1	1	0	0	0	3	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1192	735	3435	3185	1042	591	371	147	953	139	323	337	95	113	266	534	558	282	151	42	73	19	29	70	42	16	18	6	105	13	31	14	13	12	7	86	12	19	4	5	6	1	7	3	0	5	2	2	13	8	3	5	11	4	2	30	2	16	3	3	1	1	2	0	0	1	2	0	2	2	0	1	3	1	6	0	0	1	0	0	1	2	0	0	0	1	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5302	2471	4126	3606	1413	891	658	425	1123	319	428	438	206	199	330	596	597	266	197	98	111	74	66	98	59	46	46	37	120	34	41	40	33	28	17	112	17	32	19	18	11	13	28	14	8	12	12	4	10	15	4	8	18	6	3	26	6	17	5	3	3	2	2	3	0	3	2	0	3	4	2	1	3	2	9	0	0	2	1	0	1	2	0	0	1	1	1	1	1	0	0	0	1	3	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	1189	737	3510	3188	1030	587	347	136	978	137	298	363	103	103	275	556	550	227	154	39	82	22	29	79	35	15	19	7	103	18	30	18	13	14	7	106	13	27	5	5	3	0	18	8	1	7	4	3	8	7	3	8	15	4	1	25	1	16	2	2	2	1	2	1	0	1	2	0	3	2	1	1	2	2	8	0	0	1	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	5242	2503	4032	3828	1456	884	661	422	1168	340	412	414	223	203	337	558	521	282	220	83	125	80	65	89	62	37	48	39	99	36	50	35	35	31	19	112	15	32	18	19	13	10	31	10	15	15	12	6	14	13	4	8	30	2	9	7	7	18	5	2	4	3	2	2	0	6	0	1	4	5	2	1	1	1	11	0	0	1	1	1	1	2	0	0	1	1	1	1	0	0	0	2	1	3	0	0	1	2	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	1179	737	3457	3414	1051	573	344	139	1034	164	286	348	110	102	276	521	472	245	174	33	99	25	28	73	35	7	18	9	86	20	40	18	12	14	7	103	10	28	5	5	6	0	22	8	4	7	4	2	11	9	3	7	30	2	4	6	2	17	2	2	3	2	2	1	0	3	0	0	4	1	1	1	0	1	8	0	0	1	0	1	1	2	0	0	0	1	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	5258	2488	3830	3742	1386	905	612	431	1140	352	391	444	264	201	331	563	594	311	200	77	124	83	60	93	66	35	44	37	80	35	47	36	29	36	21	105	17	36	22	20	15	9	34	14	15	20	9	7	11	10	4	6	33	9	13	9	5	11	5	1	2	4	0	1	4	14	0	2	2	5	2	0	0	2	6	1	0	1	1	1	1	0	1	0	0	1	1	0	0	0	0	2	1	3	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	1212	715	3276	3349	992	587	308	145	1026	162	267	357	127	105	268	528	539	273	160	32	105	27	26	79	40	6	19	11	70	23	38	22	10	19	10	100	9	31	6	4	8	0	23	13	5	10	3	3	10	6	2	4	33	9	6	6	1	10	1	1	2	2	0	1	2	11	0	0	2	0	1	0	0	2	3	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	5243	2481	4014	3708	1473	883	600	447	1128	332	432	458	260	202	317	546	578	316	205	88	124	68	65	80	55	39	51	37	102	42	48	29	26	30	24	88	23	31	19	19	17	12	26	17	12	24	8	6	10	11	4	9	30	10	13	9	6	7	2	1	3	5	2	2	9	12	0	2	2	5	2	0	0	1	3	1	0	1	2	1	1	0	1	0	1	0	2	0	0	0	0	2	1	0	0	0	1	1	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	1242	699	3478	3344	1056	548	301	159	1014	146	304	358	134	97	254	516	527	280	164	41	104	17	28	66	31	9	19	11	93	24	39	19	9	14	8	82	12	25	3	4	9	1	17	15	4	15	2	2	8	8	3	6	30	10	7	5	2	6	0	0	3	3	1	1	7	11	0	0	1	0	1	0	0	1	0	1	0	1	2	1	1	0	1	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_all	80	5280	2480	4048	3775	1438	912	619	481	1105	315	399	515	267	206	312	534	568	318	194	105	112	76	59	92	63	45	42	45	92	47	46	33	29	34	28	92	23	28	15	21	27	12	14	16	6	22	5	5	5	7	3	12	11	12	8	12	7	4	5	2	3	10	3	3	9	18	0	2	1	1	1	1	0	1	2	2	0	1	2	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1236	678	3499	3411	1024	556	325	153	1001	127	283	416	135	104	252	504	522	284	153	47	88	18	26	69	39	12	17	11	87	27	35	21	12	19	11	87	11	22	4	7	16	2	9	14	2	14	1	3	3	6	2	6	11	11	3	8	2	4	2	1	2	6	1	0	7	18	0	0	0	0	0	0	0	1	0	2	0	1	2	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	5333	2460	4178	3694	1459	923	643	484	1124	308	421	518	254	200	329	576	473	357	210	119	117	70	68	91	75	42	43	44	110	45	42	29	33	30	28	105	23	36	15	15	26	17	12	11	6	16	9	4	4	8	4	10	14	9	6	12	5	4	6	3	4	9	3	4	7	8	0	0	1	2	1	1	0	0	1	6	1	0	2	0	1	4	2	0	2	0	1	0	0	1	0	1	2	9	0	0	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
