label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131
0.03	north1_all	80	6778	3876	1412	2453	1905	524	532	351	374	325	646	177	325	431	120	143	140	158	182	108	105	73	96	94	49	43	41	46	94	30	31	58	34	43	14	21	26	24	23	15	12	7	11	12	7	22	11	7	12	6	11	6	3	5	7	0	2	7	0	11	1	1	1	1	3	2	4	2	2	2	0	1	0	0	1	2	2	3	2	1	0	1	2	1	2	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north1_active	80	4012	2381	717	1572	1221	237	239	170	177	177	462	96	193	254	50	83	81	95	97	63	58	33	53	56	21	19	19	29	60	17	19	37	17	24	7	12	13	15	13	8	7	1	5	4	1	16	4	5	6	4	9	3	1	4	1	0	0	2	0	1	0	1	0	0	3	1	3	2	0	2	0	1	0	0	0	2	0	2	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north2_all	80	6450	3692	1351	2233	1806	530	524	362	385	333	564	190	320	407	122	136	139	170	165	108	107	76	89	85	46	42	44	43	76	37	48	55	29	50	14	21	22	24	20	16	15	7	15	12	7	15	17	7	16	6	9	6	4	6	7	1	2	6	2	15	2	1	1	6	4	3	3	2	2	1	0	1	0	0	0	2	2	3	1	0	0	1	1	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3745	2288	673	1431	1121	235	233	166	180	182	378	106	186	236	56	74	84	105	86	64	61	34	50	52	20	16	21	23	43	19	32	36	12	26	7	11	13	12	10	8	8	2	6	5	2	11	7	3	9	4	7	3	1	5	3	0	0	2	0	4	0	1	0	5	3	1	1	1	0	1	0	1	0	0	0	2	0	2	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6128	3547	1323	2168	1803	538	507	356	385	322	541	204	289	405	127	113	122	183	139	97	102	74	81	78	46	41	53	38	95	33	51	53	21	46	14	21	14	23	20	24	12	8	18	10	3	13	13	13	17	8	9	4	4	7	5	1	0	4	3	16	2	1	2	9	2	2	2	4	0	1	1	1	0	0	4	0	2	2	1	0	0	1	1	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	3515	2133	657	1398	1107	239	223	170	180	175	360	103	175	249	61	53	69	108	83	62	58	36	42	50	21	17	26	16	65	16	33	34	9	23	5	13	8	10	10	13	5	3	8	6	1	13	6	9	10	4	7	2	2	5	2	0	0	2	1	8	0	0	0	8	1	0	1	3	0	1	0	1	0	0	4	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	5943	3233	1316	1962	1610	535	507	344	379	284	496	226	240	388	137	104	129	177	137	97	81	57	77	82	49	40	55	34	97	32	57	59	24	34	18	17	23	25	10	23	11	12	17	8	6	17	11	11	21	8	11	5	5	5	5	3	2	4	5	15	1	2	2	12	3	3	2	3	0	0	1	1	1	0	4	1	0	2	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	3321	1889	629	1229	1002	258	232	165	164	150	333	108	142	242	66	41	71	102	85	58	41	32	37	54	21	20	27	12	63	15	37	37	11	17	7	10	11	12	5	12	4	4	9	6	3	15	7	8	9	5	8	2	4	4	2	1	2	3	1	7	0	0	0	12	2	1	1	2	0	0	0	1	0	0	4	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	5984	3235	1305	2002	1551	525	491	339	368	262	563	232	238	387	130	111	130	153	132	104	83	53	85	88	52	36	48	33	106	30	55	43	27	40	19	12	24	24	12	17	13	12	16	9	7	21	3	9	22	5	12	4	7	4	4	4	4	3	5	6	1	2	5	8	2	3	0	8	1	2	2	1	1	0	4	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	3333	1831	597	1249	947	262	233	159	167	135	380	107	140	236	62	52	69	85	83	58	42	31	48	56	22	23	26	13	70	14	37	23	12	26	6	8	12	19	6	9	4	5	8	6	3	14	3	8	8	2	6	3	5	3	2	1	4	2	1	4	0	0	1	8	1	1	0	7	0	1	0	1	0	0	4	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
