label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134
0.03	north1_all	80	3516	1570	1056	2091	635	1162	1967	543	249	242	442	154	290	308	165	378	87	165	56	76	51	58	45	229	94	40	73	25	23	29	18	27	21	66	25	28	97	64	9	23	9	12	16	23	11	10	6	4	9	9	13	70	7	3	4	3	7	0	9	3	2	5	6	3	0	1	4	2	0	3	0	0	0	4	0	1	8	1	1	1	0	0	1	1	1	1	0	0	0	2	0	0	0	1	1	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	1494	350	401	1824	315	1015	1861	425	79	142	365	46	245	253	111	349	52	143	10	30	12	30	13	222	78	17	57	6	6	15	9	18	6	57	13	20	93	60	4	20	4	6	12	22	8	6	3	1	5	9	11	68	5	1	3	1	5	0	9	1	1	2	6	3	0	0	3	2	0	2	0	0	0	4	0	1	6	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3580	1593	1077	2037	593	1240	1939	503	267	241	446	166	282	301	158	372	104	185	57	70	52	59	41	191	75	34	76	32	21	32	22	35	22	61	19	27	93	72	9	20	11	10	20	25	8	17	8	4	7	9	14	63	7	5	4	5	6	1	16	6	4	5	5	4	0	1	4	1	0	3	0	0	0	1	0	0	6	1	4	1	0	0	1	1	0	1	0	0	2	2	0	0	0	3	1	0	1	0	0	0	0	2	0	0	3	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	1576	382	417	1749	297	1081	1836	393	83	143	362	45	239	245	105	345	59	159	11	29	14	28	13	185	64	16	67	9	8	20	9	26	7	53	10	19	88	70	2	15	6	5	10	22	6	10	4	1	5	8	11	61	3	2	1	3	4	1	16	5	2	2	4	3	0	0	3	1	0	2	0	0	0	1	0	0	6	0	4	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3641	1632	1091	2071	574	1165	2031	472	272	247	428	163	313	295	154	317	107	182	69	67	46	65	44	174	68	29	60	29	28	33	23	43	26	54	17	37	96	68	9	23	7	8	18	18	6	13	13	7	6	9	17	59	5	6	4	4	6	2	11	5	5	4	6	5	0	1	5	1	1	1	3	1	0	3	0	0	6	2	4	1	0	1	1	1	0	5	1	0	2	0	0	0	4	3	0	0	1	0	0	0	0	3	0	0	3	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1616	367	410	1800	301	992	1928	362	81	151	328	48	270	233	93	287	60	144	13	26	13	32	13	163	55	16	50	10	11	18	9	33	5	45	10	26	90	64	2	17	5	4	8	14	5	6	9	2	4	8	13	58	1	3	2	3	3	2	11	4	2	2	5	3	0	0	4	1	0	1	0	0	0	3	0	0	6	0	4	1	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3590	1597	1057	2035	541	1231	2093	512	268	242	382	157	319	298	153	279	133	197	79	69	58	63	45	165	70	27	69	33	26	32	25	45	23	91	20	32	108	63	10	23	10	9	20	24	3	12	20	7	5	7	26	24	4	5	9	8	8	3	19	5	9	2	4	2	1	2	13	2	2	1	4	2	0	3	0	2	4	1	4	1	0	1	1	1	1	5	1	0	2	0	0	0	4	3	0	0	0	0	0	2	0	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	1651	365	399	1785	271	1056	2009	388	74	140	294	44	266	237	94	248	75	147	19	23	11	32	16	151	59	16	60	14	11	17	9	36	6	83	9	21	104	58	2	15	7	5	7	18	2	7	15	1	3	6	23	24	1	3	6	4	3	3	19	4	3	0	3	0	0	0	13	1	0	1	0	1	0	3	0	2	4	0	4	1	0	0	0	0	0	5	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3633	1577	1034	2137	552	1185	1955	515	275	269	387	155	337	281	153	284	127	193	80	54	59	62	42	209	66	35	57	28	29	24	28	39	20	90	17	28	121	51	7	22	7	14	16	24	5	13	19	12	4	6	17	24	5	2	9	5	7	2	11	4	8	0	3	5	1	3	10	1	3	0	4	3	2	3	0	2	0	1	15	0	0	2	0	2	1	5	1	0	0	0	0	2	4	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0.03	north5_active	80	1682	374	394	1883	265	1012	1870	393	77	153	306	42	283	221	83	254	78	143	21	12	12	31	18	193	53	21	40	13	11	12	11	31	3	84	4	16	117	43	2	16	5	8	9	20	5	10	15	1	2	4	15	23	1	1	7	2	2	2	11	4	2	0	3	3	0	1	10	0	1	0	0	1	0	3	0	2	0	0	15	0	0	0	0	2	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
