label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142
0.03	north1_all	80	4891	2526	1518	1043	2552	673	553	808	379	477	264	237	518	196	628	190	111	204	121	236	112	94	69	220	211	175	50	108	47	56	168	102	29	26	37	20	39	18	21	96	17	12	20	28	15	12	6	9	33	15	8	7	9	2	16	10	34	7	9	7	2	4	4	2	10	1	4	7	5	16	10	6	4	5	2	1	1	1	2	0	1	5	2	2	6	1	2	0	1	1	0	2	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1606	1194	326	274	2259	173	300	642	156	326	110	67	424	80	564	117	47	146	71	203	78	36	7	198	190	145	18	89	27	40	157	93	9	15	18	9	34	8	9	90	9	4	8	27	9	7	1	4	32	14	2	5	8	1	12	9	31	0	4	6	0	0	3	1	9	0	4	6	4	15	9	2	2	5	1	0	0	0	0	0	1	5	1	0	5	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4892	2499	1544	1078	2524	674	594	769	410	470	276	237	508	199	636	187	124	179	109	231	111	83	64	224	209	156	48	134	43	53	174	118	32	28	42	21	30	11	18	71	20	12	16	24	14	9	9	11	30	15	10	7	8	3	11	16	35	7	8	9	2	4	4	5	18	2	8	9	4	13	5	5	2	1	1	1	1	2	0	0	0	0	3	2	3	1	2	2	1	1	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	1637	1159	345	290	2254	188	317	595	159	313	111	64	423	93	574	119	43	121	64	194	77	29	8	201	187	132	11	113	26	40	164	114	7	19	23	8	25	3	7	65	8	4	5	23	7	3	4	8	30	13	2	4	6	0	8	14	33	1	3	7	0	1	2	1	17	0	8	9	3	12	5	0	2	1	0	0	0	0	0	0	0	0	2	1	2	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	4900	2501	1479	1099	2568	637	598	760	382	483	274	226	503	213	726	176	132	208	100	238	102	80	62	182	177	178	46	132	47	63	144	102	35	38	44	21	35	14	15	55	17	12	17	47	15	10	10	13	26	18	10	10	11	5	12	20	30	4	7	5	3	4	3	6	16	4	8	11	4	13	2	4	1	9	1	1	0	2	0	0	0	0	2	3	3	0	1	2	1	1	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	1615	1153	315	281	2303	175	300	580	139	332	107	53	425	102	668	114	48	151	59	198	66	37	11	159	159	156	10	110	28	48	134	97	8	28	28	8	31	2	5	52	6	4	4	42	10	3	4	10	25	17	1	5	9	2	9	19	29	1	4	3	1	1	1	1	14	2	8	11	4	12	2	0	1	9	1	0	0	0	0	0	0	0	2	3	2	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	4904	2524	1505	1106	2503	625	613	796	379	509	275	203	510	212	723	191	143	216	96	230	101	86	57	179	188	162	40	136	60	51	137	106	33	48	41	20	31	15	15	46	16	10	20	61	18	8	11	12	38	29	6	11	11	5	9	18	20	5	4	7	3	5	2	5	12	5	8	11	4	3	2	3	1	11	1	1	2	3	0	0	0	4	14	3	1	0	0	2	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	1617	1147	324	296	2229	158	297	601	132	363	109	45	431	102	670	119	49	166	49	191	68	30	13	151	167	141	7	112	37	34	126	98	6	38	26	8	27	0	5	43	4	3	5	57	12	2	4	9	35	28	0	6	9	3	8	16	20	3	4	4	1	1	1	1	11	2	8	11	4	2	2	0	1	11	1	0	1	0	0	0	0	4	14	3	1	0	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	4924	2556	1499	1088	2531	623	636	768	368	499	261	206	504	189	746	208	133	227	103	247	86	90	57	168	247	195	44	104	69	55	111	90	34	69	27	24	45	16	20	35	12	9	19	89	17	10	10	10	59	32	3	9	12	4	8	23	20	9	3	6	2	3	5	4	10	4	7	7	2	3	2	1	2	12	1	0	3	2	0	0	0	4	13	3	1	0	0	2	3	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	1623	1179	338	306	2261	143	304	575	142	363	94	40	436	85	699	133	50	172	49	212	53	31	13	138	226	178	10	84	40	33	98	81	7	56	16	12	42	2	8	31	5	3	6	83	13	5	1	7	56	31	1	6	9	3	6	22	20	3	3	3	1	0	5	0	9	2	7	7	2	2	2	0	2	12	1	0	2	0	0	0	0	4	13	2	1	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_all	80	4971	2574	1523	1057	2399	610	597	797	390	472	263	223	525	170	712	220	120	239	98	233	97	91	46	141	240	191	43	117	69	39	96	73	30	57	32	26	34	21	23	47	12	7	18	70	15	16	10	5	70	62	3	6	14	4	12	18	25	10	1	6	2	3	7	5	2	1	2	17	1	2	2	2	3	12	1	1	3	2	0	1	1	4	15	1	0	0	0	1	4	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north6_active	80	1661	1192	340	305	2110	126	277	591	148	324	89	43	462	76	659	143	46	193	41	202	52	25	10	113	217	176	11	98	36	23	82	61	8	45	16	15	32	7	10	41	5	2	5	62	8	8	1	2	66	59	1	6	10	3	10	16	25	3	1	3	1	0	6	1	2	0	2	16	1	1	2	1	2	12	1	1	2	0	0	0	0	4	15	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north7_all	80	5015	2582	1504	1035	2363	619	588	774	419	444	243	230	578	188	689	230	116	216	99	244	110	81	58	177	240	222	45	125	65	43	101	64	22	55	26	27	37	18	25	51	18	8	17	58	16	16	12	4	64	53	6	8	9	2	12	20	18	6	1	5	1	3	7	5	4	3	2	20	1	9	10	2	2	19	0	1	2	1	1	2	2	0	12	1	0	0	0	1	7	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
0.03	north7_active	80	1633	1202	333	307	2112	143	299	573	169	299	76	36	498	81	636	159	45	171	46	216	66	22	14	151	215	207	11	107	31	25	87	48	4	44	14	15	33	8	10	45	8	2	5	54	10	7	2	2	60	50	3	7	5	1	10	18	18	1	1	2	1	2	5	1	4	0	2	19	1	8	9	1	1	19	0	1	2	0	1	1	0	0	12	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
0.03	north8_all	80	4906	2579	1535	1043	2112	614	543	739	425	422	236	222	559	178	660	190	125	214	104	240	125	84	57	175	239	233	38	114	53	40	93	51	26	35	25	25	44	23	22	50	17	10	11	32	14	16	10	5	48	50	6	6	7	1	12	9	18	7	1	3	2	5	9	3	2	2	2	20	0	8	11	2	3	20	0	1	0	1	1	3	2	0	3	0	0	0	1	1	5	0	0	0	1	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
0.03	north8_active	80	1526	1142	340	278	1829	134	262	535	154	280	73	40	482	84	604	117	49	173	52	199	73	18	14	150	212	213	10	100	23	27	80	36	6	26	14	13	34	10	7	44	9	3	2	28	8	8	3	1	46	47	2	5	5	0	11	7	16	2	0	0	1	2	6	1	2	0	2	19	0	8	10	1	1	20	0	1	0	0	1	1	0	0	3	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
0.03	north9_all	80	4864	2462	1528	1055	1899	618	529	710	401	396	258	200	520	181	572	176	128	185	115	224	123	84	63	146	177	183	37	93	49	49	78	55	29	37	20	26	37	21	17	32	21	10	14	28	14	13	6	6	22	30	7	8	7	4	9	10	17	8	1	4	1	5	8	2	5	2	1	20	0	10	12	2	4	14	2	1	0	0	1	4	2	0	1	0	1	0	1	1	4	0	0	0	0	0	2	1	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0
0.03	north9_active	80	1406	1008	355	257	1623	150	249	503	127	245	83	43	445	75	519	104	52	137	58	168	72	22	16	127	155	160	14	79	27	33	71	41	10	28	13	10	26	8	6	28	11	3	4	21	7	5	3	0	21	28	2	7	4	1	9	7	14	2	0	0	0	2	6	1	5	0	1	19	0	10	11	0	1	14	1	0	0	0	1	2	0	0	1	0	1	0	0	0	4	0	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0
0.03	north10_all	80	4842	2431	1521	999	1691	620	531	672	402	370	264	205	479	188	507	162	138	162	122	194	124	80	63	147	141	173	41	70	48	50	82	44	35	51	17	24	43	17	15	16	21	12	12	20	16	9	8	8	7	11	4	8	10	6	12	4	15	9	3	8	2	4	8	2	5	3	2	5	0	5	8	2	4	8	3	1	0	0	0	2	1	0	0	1	3	0	1	1	2	0	0	0	0	0	2	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
0.03	north10_active	80	1321	921	361	227	1401	154	226	474	125	216	78	44	403	77	447	104	51	105	54	140	72	19	14	130	113	147	17	56	28	37	68	36	10	39	8	7	32	5	4	14	11	3	5	13	9	5	1	2	6	11	0	7	5	2	12	2	12	2	1	4	1	2	5	1	5	0	2	3	0	5	8	0	1	7	2	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
