label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146
0.03	north1_all	80	5231	1743	1588	754	636	494	800	402	420	236	206	381	189	360	200	110	120	118	100	90	90	87	64	49	51	42	123	44	41	70	42	45	19	52	32	26	22	19	22	14	20	22	10	12	14	15	13	11	9	12	9	36	11	3	12	11	6	5	6	9	4	9	3	1	17	3	4	3	25	4	4	3	5	3	1	5	2	2	5	6	8	2	7	0	0	2	2	0	0	0	3	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3367	478	1049	188	229	145	641	184	274	69	60	297	97	311	132	20	63	29	48	17	48	52	43	26	20	15	113	9	12	52	10	22	7	41	14	8	6	4	5	4	11	12	3	4	6	3	4	5	8	7	4	35	6	2	3	8	2	0	2	7	3	9	0	1	16	1	2	2	24	4	1	0	1	1	0	2	2	2	4	6	8	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5402	1754	1628	794	623	472	901	400	454	233	231	412	203	412	184	120	140	128	87	86	92	92	70	58	49	37	120	44	33	88	39	41	19	77	29	22	17	15	18	14	27	20	13	16	12	13	6	9	13	14	11	36	13	3	13	16	4	5	5	7	8	11	5	3	17	1	5	6	10	20	2	3	5	3	1	2	2	4	1	6	5	2	5	0	2	2	1	6	0	1	4	0	0	0	1	0	0	6	3	0	0	1	0	0	1	0	0	0	3	1	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3644	502	1130	204	256	135	744	183	298	69	65	339	108	355	127	18	76	32	45	18	53	64	52	38	21	16	113	12	12	71	12	21	8	68	14	8	6	4	4	3	20	13	6	1	6	2	1	3	10	9	4	35	8	2	6	14	2	1	2	7	5	11	1	2	16	0	3	5	9	18	0	0	1	1	0	1	2	3	0	6	5	1	0	0	2	1	0	6	0	0	3	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5688	1760	1713	847	645	495	1000	414	441	237	241	480	201	492	216	108	147	131	93	99	86	100	79	66	48	48	158	44	40	99	38	43	23	76	29	27	20	18	18	19	33	22	14	18	10	12	15	7	11	14	8	23	21	5	12	12	5	6	6	6	7	12	4	4	11	1	3	11	9	22	2	2	4	2	0	2	1	3	2	5	5	1	2	1	2	1	4	7	0	1	5	1	4	0	1	0	0	6	3	0	0	1	0	0	2	0	0	0	3	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_active	80	4006	528	1221	201	291	166	847	204	303	66	81	400	113	429	155	22	95	38	49	22	53	73	51	42	16	25	151	11	15	87	14	25	6	66	14	9	9	4	5	5	25	12	7	4	3	2	6	3	8	7	3	22	18	3	6	12	3	3	2	6	5	9	1	3	10	0	3	8	8	19	1	0	1	1	0	1	1	1	0	5	5	1	0	1	2	1	3	7	0	0	4	0	4	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5947	1764	1873	836	669	513	1090	417	465	235	254	504	205	536	231	106	152	119	98	90	88	104	92	67	52	46	190	36	38	87	30	37	21	104	29	28	14	15	17	15	29	18	16	18	11	14	16	10	13	11	10	27	20	4	9	10	3	7	4	4	6	9	2	3	10	2	3	11	9	24	2	3	1	2	1	0	1	3	3	1	3	1	1	2	2	5	3	7	0	1	5	2	4	0	0	0	0	6	1	1	0	0	0	0	2	0	0	0	0	0	5	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	4318	582	1361	193	315	181	939	210	330	76	91	424	122	467	169	23	100	41	58	19	59	81	61	43	19	23	186	10	12	79	12	23	7	98	18	8	8	1	4	4	23	10	7	4	2	3	7	5	9	5	2	26	17	2	5	10	3	3	2	4	3	6	1	2	9	0	3	8	8	21	1	0	0	1	1	0	1	1	0	1	3	1	1	2	2	5	3	7	0	0	4	0	4	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6086	1773	1877	820	685	514	1069	400	473	245	221	510	194	613	268	110	150	106	121	92	99	125	111	73	50	51	244	39	43	103	30	43	22	78	27	25	17	15	16	17	27	11	15	13	16	11	20	8	15	9	9	31	18	6	9	8	4	4	5	5	7	11	2	3	12	2	1	7	9	15	2	3	0	2	3	5	2	2	3	2	0	2	1	3	1	4	3	8	0	0	4	2	4	0	0	0	0	6	1	1	0	0	0	0	1	0	0	1	0	0	4	0	0	1	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_active	80	4471	584	1379	174	303	195	925	211	354	84	76	425	126	551	198	32	105	42	74	23	73	96	77	41	20	23	233	10	10	98	9	33	10	71	16	8	12	2	4	4	24	5	7	3	5	3	10	5	11	3	2	30	16	2	6	7	4	2	2	4	4	6	0	2	10	1	1	5	9	14	1	0	0	0	1	3	2	0	0	2	0	0	1	2	1	4	3	7	0	0	4	0	4	0	0	0	0	6	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
