label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155
0.03	north1_all	80	3222	1012	1165	890	368	901	326	607	304	176	415	186	305	86	219	198	63	95	45	73	58	49	38	54	40	28	68	36	52	29	26	57	22	42	62	35	19	11	10	32	21	30	38	12	10	15	8	4	7	9	3	6	5	4	19	7	7	3	8	0	1	1	8	4	4	5	0	3	1	2	1	4	2	3	1	0	2	5	0	0	0	0	1	0	2	0	3	1	2	1	1	1	2	1	0	0	0	0	1	4	3	0	2	3	0	0	2	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
0.03	north1_active	80	1842	467	706	531	172	597	189	404	158	95	269	101	196	40	147	137	32	40	14	40	39	23	19	31	22	12	42	22	32	17	9	44	11	21	50	28	4	8	5	21	9	20	23	3	7	10	5	2	3	7	3	4	1	2	13	4	7	2	5	0	0	1	6	3	3	3	0	2	1	0	1	3	0	1	0	0	2	2	0	0	0	0	0	0	1	0	3	1	1	0	0	0	2	0	0	0	0	0	1	3	3	0	2	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	3220	970	1106	860	353	918	291	562	294	163	467	156	296	76	215	185	61	100	52	62	54	54	34	51	47	33	55	34	45	23	25	64	25	41	51	32	18	9	12	34	24	26	35	12	8	13	6	6	4	12	4	6	4	2	17	7	6	1	5	2	4	3	9	3	5	3	0	2	1	3	2	5	2	2	1	0	1	2	1	1	0	5	1	0	2	0	3	1	0	1	1	0	3	1	0	0	0	0	0	2	3	0	2	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	1848	469	658	502	163	606	156	373	169	77	318	74	197	33	150	116	34	50	24	34	36	24	18	31	23	16	29	17	29	15	7	46	13	20	40	25	5	5	7	22	9	14	19	3	4	8	3	5	2	11	3	4	0	1	14	4	5	0	3	1	1	2	7	3	3	2	0	2	1	1	1	3	0	1	0	0	1	0	1	1	0	5	0	0	1	0	3	1	0	0	0	0	2	0	0	0	0	0	0	2	3	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3052	973	1029	824	342	820	271	537	261	166	440	138	257	63	201	165	57	100	54	57	54	62	35	44	47	39	67	31	51	28	23	63	29	37	51	26	24	7	13	31	17	16	23	13	13	17	5	9	4	11	5	8	5	4	20	9	14	2	6	3	5	3	8	3	4	2	0	1	1	3	3	3	1	1	1	0	3	2	1	1	0	5	1	0	2	0	6	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
0.03	north3_active	80	1695	474	607	476	148	537	138	353	158	82	300	68	151	25	141	99	29	56	28	29	36	27	19	24	24	23	35	16	32	18	7	41	14	21	43	19	8	3	9	20	5	9	14	2	9	11	1	7	3	9	3	5	1	4	16	6	13	0	3	2	2	2	6	2	3	2	0	0	0	2	2	2	0	1	0	0	2	0	1	1	0	5	0	0	1	0	5	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	2891	930	957	737	332	722	271	452	250	164	432	130	262	68	188	120	56	89	62	47	51	56	35	37	53	35	50	28	39	27	21	65	30	30	42	25	15	8	14	31	17	13	19	13	9	17	4	12	5	7	3	9	4	7	15	12	22	5	4	3	4	2	15	2	3	3	1	1	1	3	4	3	1	1	1	0	3	3	1	2	1	5	0	0	1	0	4	1	0	1	0	1	3	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	1605	446	550	429	144	462	139	274	150	73	295	63	159	27	122	66	26	58	31	25	28	27	13	15	28	21	29	14	23	17	6	32	13	17	31	16	5	4	10	19	9	8	14	4	6	12	0	8	2	4	1	4	1	6	12	7	17	2	2	2	2	1	11	0	2	3	0	0	0	2	3	1	0	1	0	0	2	2	1	1	0	5	0	0	0	0	3	1	0	1	0	0	2	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	2726	928	926	716	308	619	280	397	240	155	351	128	227	90	182	122	63	88	55	42	54	48	36	44	52	34	67	27	32	26	20	55	28	28	43	21	16	10	14	21	18	12	12	11	19	11	5	9	5	3	1	12	4	9	10	12	21	5	4	2	2	1	11	3	1	4	2	1	1	3	3	2	1	0	2	0	4	3	0	1	1	0	0	1	2	1	4	0	0	1	1	1	3	2	0	0	0	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	1483	448	530	412	129	401	142	232	125	73	241	66	137	39	113	69	30	61	19	24	29	24	18	16	27	22	40	13	18	18	4	25	10	17	26	10	7	7	12	11	13	8	5	5	15	7	0	5	2	1	0	7	1	7	8	6	15	2	2	2	1	1	7	0	1	3	0	0	0	2	3	0	0	0	1	0	2	2	0	0	0	0	0	0	1	1	3	0	0	1	0	0	2	2	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_all	80	2832	971	959	724	324	707	284	409	263	159	358	138	260	94	183	123	66	75	51	32	59	53	35	53	50	34	72	33	44	25	18	38	25	24	43	23	19	16	13	23	22	16	16	9	20	10	3	10	6	5	2	6	2	12	7	12	16	5	3	1	1	0	16	4	1	4	3	1	0	3	2	2	2	1	1	0	5	3	0	2	1	0	0	1	1	2	3	0	0	1	1	0	2	2	0	0	0	0	2	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1578	470	548	414	143	475	142	243	150	76	242	73	161	46	104	68	33	48	17	18	27	30	14	28	24	21	45	15	26	13	6	15	12	17	20	15	8	12	10	15	15	10	7	6	15	4	0	7	2	1	2	3	0	9	5	5	10	2	2	1	1	0	11	1	1	3	0	1	0	2	2	0	0	0	1	0	3	2	0	1	0	0	0	0	1	1	3	0	0	1	0	0	2	2	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	3061	966	1086	752	323	797	284	499	285	148	358	154	254	106	207	125	67	88	47	31	53	59	31	47	50	43	71	37	47	20	22	54	24	30	37	24	19	22	10	21	29	16	26	10	17	7	6	7	2	5	4	6	2	6	5	14	24	3	2	1	2	2	18	9	2	2	4	1	1	5	2	2	2	2	1	0	6	2	3	3	1	4	0	1	1	7	0	0	0	1	1	0	0	1	1	1	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
