label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180
0.03	north1_all	80	4877	2776	1569	1461	808	630	566	1368	418	345	326	573	285	601	556	478	152	141	114	125	133	106	87	96	74	71	74	97	54	72	51	148	138	82	37	37	54	28	33	39	25	73	23	22	36	22	13	31	16	15	15	16	16	18	7	12	12	7	10	16	2	50	7	4	16	4	5	11	12	5	7	6	14	4	3	2	6	6	1	16	4	3	1	14	2	1	2	2	2	1	4	2	1	0	10	0	1	1	1	2	0	1	1	0	0	0	1	0	1	0	0	1	1	1	0	1	1	2	2	0	1	2	0	1	0	1	0	1	0	0	0	3	0	0	0	0	1	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1196	1442	693	971	245	165	243	1163	192	142	110	462	166	536	488	405	59	31	42	59	66	35	34	33	30	33	34	76	18	41	20	133	128	59	14	11	36	8	7	10	6	68	12	5	19	13	3	25	10	4	2	11	11	16	6	2	8	3	2	15	0	48	2	1	15	1	3	7	7	3	3	2	11	1	1	1	4	6	0	16	4	2	1	14	2	1	0	1	1	1	4	0	0	0	10	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	2	1	0	0	1	0	1	0	1	0	1	0	0	0	3	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4798	2830	1578	1530	813	647	567	1504	445	360	327	591	316	687	621	541	163	141	103	117	123	108	95	94	72	73	76	107	56	67	50	145	154	79	35	38	63	23	33	36	23	81	21	19	34	23	12	37	16	16	17	14	16	21	11	14	9	7	7	18	2	66	7	4	18	3	3	9	13	5	4	8	10	5	2	4	10	5	2	13	3	1	0	9	3	2	2	2	12	0	3	2	7	1	5	0	2	1	2	2	0	2	1	7	0	0	1	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1	0	0	0	1	2	0	0	2	0	0	0	0	1	1	0	0	3	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1182	1548	756	1027	254	160	243	1302	213	166	110	491	183	615	560	479	66	28	38	61	64	41	40	36	23	34	37	85	11	35	18	129	141	58	10	9	42	7	9	16	7	76	12	5	21	11	2	32	9	6	3	7	14	19	6	3	6	2	1	17	0	64	2	2	17	0	2	5	7	2	2	3	6	2	1	3	9	5	0	13	2	1	0	9	2	1	0	2	10	0	3	0	5	1	5	0	1	1	0	1	0	0	0	6	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	1	2	0	0	2	0	0	0	0	1	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4686	2826	1585	1554	823	653	601	1443	443	382	325	615	325	653	674	520	148	147	117	120	115	98	87	90	60	72	78	133	66	73	48	129	182	88	28	30	52	25	33	36	24	97	20	17	38	30	15	35	12	14	16	17	17	18	13	13	13	5	9	15	3	65	8	4	9	2	13	6	10	5	4	8	8	2	4	6	11	6	3	13	4	2	1	9	3	2	3	3	12	0	2	2	6	2	1	1	3	1	2	1	0	2	1	8	1	0	1	0	1	0	0	1	1	2	2	0	0	1	1	0	0	1	0	1	0	0	0	1	2	0	0	2	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1172	1578	759	1032	252	165	274	1242	206	174	104	506	201	578	614	459	61	27	50	64	51	38	35	38	18	36	39	101	21	37	20	110	163	65	7	7	34	7	9	18	9	94	13	5	27	12	2	30	7	6	2	7	15	15	6	4	7	1	2	15	0	63	0	2	9	0	12	4	6	2	3	5	6	1	2	6	11	6	0	13	2	1	0	9	1	1	1	2	10	0	2	0	5	2	1	0	2	1	0	1	0	1	0	6	0	0	0	0	1	0	0	0	0	2	2	0	0	1	1	0	0	1	0	1	0	0	0	1	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4686	2755	1548	1504	833	680	617	1354	438	368	320	607	316	615	649	527	149	127	131	138	111	109	70	101	68	57	70	122	68	57	43	127	159	71	25	31	50	25	30	31	31	103	14	16	27	27	15	35	10	10	17	17	16	42	13	13	14	6	10	16	3	37	9	7	8	0	17	9	6	4	4	7	7	3	5	6	14	4	3	21	5	3	2	0	4	2	3	2	12	0	4	2	6	2	6	1	3	1	2	1	0	2	2	8	1	0	2	0	1	0	1	1	0	2	2	0	0	1	0	0	1	0	0	1	0	0	0	1	2	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	1137	1515	701	994	228	156	274	1191	186	171	94	487	184	536	574	468	66	22	56	68	51	40	25	41	22	24	31	90	23	28	16	108	140	51	6	8	29	9	7	17	9	100	5	5	22	10	1	28	3	4	3	6	14	39	7	5	9	1	3	15	0	36	0	3	7	0	13	5	4	1	3	5	5	2	2	6	14	4	0	21	2	2	1	0	0	1	1	1	9	0	4	0	5	2	5	0	2	1	0	1	0	1	0	6	0	0	1	0	1	0	0	0	0	2	2	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_all	80	4714	2704	1557	1447	818	691	613	1222	434	337	320	540	317	532	536	471	143	127	124	140	110	97	80	95	68	58	58	103	61	53	48	113	144	75	32	30	52	26	29	30	25	90	15	19	23	25	12	28	9	7	13	19	15	39	6	13	16	10	14	11	5	22	8	8	9	3	20	8	4	4	2	5	6	2	4	11	9	3	2	11	5	4	2	3	4	1	5	3	2	0	2	3	0	1	6	1	2	1	1	0	1	1	2	2	1	1	2	0	2	0	1	2	0	2	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
0.03	north5_active	80	1139	1408	662	907	228	164	258	1056	172	147	92	425	187	463	465	404	63	31	46	64	48	26	26	33	26	21	22	70	23	27	15	99	126	52	10	11	31	8	5	11	7	88	6	3	19	9	1	22	3	1	2	8	11	34	4	4	11	2	3	10	2	20	1	3	6	0	16	4	2	1	2	4	6	2	2	8	7	3	0	11	2	2	1	1	0	1	4	1	0	0	2	0	0	1	5	0	1	0	0	0	1	1	0	1	0	0	1	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
