label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163
0.03	north1_all	80	4079	837	648	447	327	784	311	444	143	158	173	115	126	92	81	104	69	160	49	42	88	37	55	33	45	69	38	34	42	41	23	34	29	16	14	13	15	18	26	13	35	21	10	21	14	8	14	8	17	17	12	11	7	1	5	12	6	4	3	8	2	6	3	4	2	3	0	0	11	5	3	3	1	0	3	0	1	1	5	0	3	0	0	1	2	3	1	4	1	1	2	0	0	0	1	2	0	1	0	1	0	1	1	1	0	0	2	1	0	6	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	2605	413	352	216	177	499	194	299	64	82	79	49	74	51	38	64	45	101	27	19	48	12	35	13	21	37	25	23	26	35	13	20	16	7	8	5	8	11	17	4	25	13	4	8	11	5	9	4	7	12	6	8	3	0	1	3	5	2	2	7	0	3	0	3	1	1	0	0	4	0	0	2	1	0	2	0	0	1	5	0	1	0	0	1	2	2	1	3	1	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	1	0	6	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4166	871	628	422	351	824	296	444	144	150	201	93	141	80	86	136	78	158	54	38	68	28	52	34	35	55	37	42	40	44	23	34	26	14	12	12	15	21	24	15	20	19	9	18	11	7	9	10	29	26	8	12	4	3	6	10	6	7	8	17	3	4	3	4	3	2	0	0	10	4	3	3	4	1	3	0	1	1	2	0	4	0	0	1	1	3	5	4	3	0	2	0	0	0	1	2	0	1	0	0	0	1	1	0	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	2705	422	329	201	190	513	180	281	59	64	98	39	90	38	41	92	50	111	33	15	36	12	33	15	13	23	20	25	25	33	18	21	13	5	5	4	8	14	17	5	12	9	4	9	9	3	6	6	22	14	3	6	2	2	2	4	5	2	8	8	1	2	0	3	3	1	0	0	3	0	0	2	4	0	2	0	0	1	2	0	1	0	0	1	1	1	1	3	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4111	873	632	421	352	840	299	430	129	153	214	81	136	83	83	147	75	146	50	32	68	31	58	39	31	57	49	49	45	38	17	41	27	18	13	6	15	23	20	11	29	14	8	12	10	10	9	7	28	25	6	10	6	2	7	4	5	6	8	17	1	5	5	2	2	3	0	0	9	4	1	2	5	2	1	1	1	0	2	1	3	0	1	2	0	1	7	3	2	0	1	1	0	4	0	3	1	1	0	1	0	1	1	0	0	2	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2686	404	336	197	190	522	183	264	52	64	119	32	82	38	43	100	49	101	27	16	39	14	34	17	14	20	23	29	29	20	11	25	11	5	4	1	7	15	15	3	20	7	3	6	6	5	4	4	23	13	1	5	2	2	4	1	4	2	8	7	1	3	2	2	2	2	0	0	2	0	0	2	5	0	0	1	0	0	1	0	1	0	0	2	0	0	3	3	0	0	1	0	0	4	0	3	1	0	0	0	0	0	1	0	0	2	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4123	845	640	420	358	836	352	483	155	157	221	84	152	84	79	149	81	137	53	29	63	31	63	34	29	66	52	44	40	39	15	40	18	20	17	6	14	33	20	9	27	16	11	10	12	15	11	5	27	23	6	8	6	3	8	4	3	4	8	16	3	7	4	3	3	4	1	1	3	3	1	0	4	2	1	1	0	1	2	1	2	0	2	4	1	4	8	0	3	2	1	2	0	6	0	2	1	0	0	1	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2692	376	335	219	193	512	216	282	64	73	130	32	94	32	42	96	42	84	25	15	40	16	36	17	15	31	28	23	24	18	10	23	6	6	7	2	5	23	14	5	18	11	5	7	8	9	4	3	23	8	1	3	2	3	6	2	3	0	7	7	3	5	2	1	2	2	0	0	0	0	1	0	4	0	0	1	0	1	1	0	0	0	1	2	0	1	3	0	0	1	0	1	0	6	0	2	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4153	835	635	453	347	892	382	483	151	154	208	97	144	88	77	141	76	154	59	26	62	35	56	39	27	71	46	35	41	39	14	34	27	26	14	12	14	34	17	8	28	20	10	7	14	18	10	8	10	21	10	7	6	3	8	4	5	3	3	3	3	8	3	5	3	4	1	2	3	3	1	4	6	1	1	1	0	2	1	1	1	0	2	4	1	4	8	1	1	2	1	2	0	6	1	1	1	0	0	1	2	0	0	0	0	2	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2660	360	335	221	194	558	226	289	68	81	125	37	84	36	42	91	46	90	26	14	36	19	32	19	15	38	27	20	26	15	6	21	10	8	5	4	8	21	9	5	18	13	5	5	8	10	3	2	7	9	5	3	1	2	5	3	5	1	2	2	3	5	3	2	1	2	0	0	0	0	1	4	5	0	0	1	0	2	0	0	0	0	1	1	0	1	3	0	0	1	0	1	0	6	1	1	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	4150	846	648	430	343	923	376	468	149	147	205	99	144	106	81	137	85	159	51	32	63	36	35	32	30	81	42	27	35	32	14	36	25	19	18	16	14	41	16	8	19	20	14	6	13	12	9	8	10	21	7	9	8	5	8	7	6	5	3	3	2	7	3	6	4	3	1	2	6	4	1	4	4	3	1	2	0	3	1	0	0	1	2	3	2	4	2	1	1	2	1	1	1	2	1	1	0	0	0	0	2	0	0	0	0	2	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	2592	364	341	223	189	597	218	287	69	81	113	39	83	46	45	85	47	93	18	13	34	20	16	16	12	53	28	16	23	12	6	24	9	7	7	6	10	22	8	4	8	15	8	3	6	7	2	1	6	11	6	5	1	2	6	4	5	3	0	3	2	4	2	3	0	2	0	0	1	1	1	4	2	2	1	2	0	3	1	0	0	1	1	0	0	1	1	0	0	1	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	4110	915	657	438	328	946	353	446	141	132	218	108	133	93	73	153	80	151	51	40	80	43	39	31	39	77	36	25	27	33	16	30	25	18	19	17	20	40	18	11	27	21	8	8	16	13	5	11	8	17	6	9	6	4	5	10	10	6	3	2	1	4	4	3	4	0	0	2	5	4	0	4	5	6	1	1	1	2	2	0	0	1	0	4	1	7	0	1	0	0	0	1	1	0	1	1	1	0	0	0	2	0	0	0	0	0	1	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north7_active	80	2507	412	326	216	175	607	209	291	67	73	125	43	74	45	40	99	41	91	24	12	41	23	15	12	15	43	21	10	18	15	8	19	9	6	10	6	14	22	5	6	17	16	5	6	10	7	1	2	4	12	6	5	1	1	3	5	7	5	0	1	0	2	2	2	0	0	0	0	2	1	0	4	2	3	1	1	0	2	1	0	0	1	0	2	0	2	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	4063	910	651	445	333	892	324	446	143	117	212	83	136	90	76	137	89	134	42	48	86	45	44	26	38	82	34	26	16	36	17	33	20	16	15	10	19	41	12	9	27	14	9	9	12	9	6	10	9	13	3	8	9	5	8	15	9	8	4	3	2	2	3	3	2	1	1	3	4	1	2	3	5	8	1	1	1	1	3	0	1	2	0	3	1	4	0	0	0	0	0	1	1	1	1	2	1	1	0	0	4	0	1	0	0	3	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north8_active	80	2473	410	320	214	178	572	193	281	67	66	118	39	72	42	44	90	45	85	22	19	50	22	19	7	16	44	20	8	10	18	10	21	5	5	9	4	13	23	4	5	17	12	7	6	7	5	1	3	5	10	2	4	1	1	6	8	4	6	0	1	1	1	1	3	0	0	0	0	2	1	2	3	2	5	1	1	0	1	1	0	0	1	0	3	0	1	0	0	0	0	0	1	1	0	1	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	4021	923	633	423	343	920	347	447	150	129	194	83	127	90	72	143	90	135	46	47	80	43	49	27	37	77	34	28	17	49	21	30	26	17	19	13	13	48	13	10	34	11	12	8	15	12	4	11	8	22	7	7	7	4	9	19	9	6	2	3	2	4	4	2	2	1	2	2	4	2	4	1	4	8	0	0	1	1	3	1	3	1	0	3	0	5	0	1	0	0	0	1	1	1	0	1	3	1	0	0	2	2	1	1	0	3	7	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north9_active	80	2538	421	305	196	185	609	204	292	64	68	119	41	70	48	35	94	47	81	26	15	45	21	29	9	21	40	19	13	8	32	9	17	11	7	13	7	8	31	5	8	23	8	8	5	9	8	1	7	5	18	3	4	2	3	5	10	4	5	0	1	1	1	3	2	1	0	0	0	1	0	3	0	3	5	0	0	0	1	1	1	0	0	0	3	0	2	0	0	0	0	0	1	1	0	0	1	2	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	4195	873	635	451	358	937	353	468	137	152	176	74	140	102	74	162	88	146	51	51	76	42	52	31	38	86	37	27	21	52	23	26	29	17	13	15	13	33	11	11	35	8	10	9	15	10	7	10	11	22	9	7	9	4	10	19	6	5	2	8	3	5	3	5	1	3	3	3	1	4	5	2	2	5	1	0	1	3	3	2	3	1	0	2	0	2	0	1	0	0	0	1	0	1	0	1	2	1	0	0	2	2	1	1	0	4	7	0	2	0	2	0	1	0	0	3	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north10_active	80	2659	402	315	212	193	649	204	310	59	73	107	39	79	54	36	108	45	92	29	18	46	21	33	14	21	49	22	14	8	34	10	17	18	7	7	6	9	22	4	6	16	5	5	5	11	7	1	6	2	16	5	5	3	3	4	12	3	4	0	3	2	1	3	4	1	0	0	1	0	2	4	1	2	3	1	0	0	3	1	1	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
