label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183
0.03	north1_all	80	5230	3428	2217	1033	1111	611	676	406	663	405	421	333	296	481	450	151	173	102	257	242	133	189	103	137	88	90	63	87	121	36	89	49	52	34	32	82	26	35	28	62	29	19	48	19	18	18	22	20	38	18	17	15	17	16	17	9	21	11	11	11	9	7	15	7	3	11	8	6	8	3	9	3	5	2	8	3	6	6	3	4	2	6	4	3	3	3	2	4	10	4	1	4	3	4	3	1	4	3	1	2	0	0	1	0	0	2	0	3	1	1	0	1	2	1	3	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north1_active	80	2791	2104	1349	537	631	318	351	192	407	241	234	177	157	314	296	73	108	45	157	165	86	126	61	85	48	53	34	45	74	16	58	21	24	18	16	35	13	23	14	33	10	6	28	10	9	9	9	8	25	9	11	5	8	9	5	7	6	8	7	7	5	3	12	3	2	7	4	4	5	1	4	1	2	1	6	2	2	3	2	0	0	5	1	1	1	3	0	2	10	4	1	3	1	3	3	0	1	1	0	2	0	0	1	0	0	2	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5371	3631	2256	1065	1190	619	694	425	708	418	511	337	298	544	471	136	201	95	288	275	146	201	106	142	80	89	67	94	133	44	84	45	71	38	33	73	32	41	25	63	29	19	41	21	22	25	15	18	54	15	23	17	17	14	17	9	24	12	13	14	9	9	10	5	6	11	12	6	9	3	9	4	6	6	12	3	5	4	3	0	5	5	3	3	4	3	3	5	9	5	1	4	1	3	3	1	4	2	1	2	0	0	0	0	0	1	0	3	1	2	0	1	3	1	3	0	2	1	0	0	0	1	1	2	1	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0
0.03	north2_active	80	2850	2194	1370	544	680	310	375	201	451	242	302	193	163	372	320	67	122	44	193	192	101	131	61	84	41	49	33	54	87	18	54	20	43	20	17	30	16	27	13	28	9	6	21	12	10	14	7	5	39	8	16	7	6	9	6	8	8	9	9	12	6	5	9	3	4	10	6	4	4	1	5	2	2	2	10	1	2	1	2	0	2	4	1	1	2	3	1	4	9	3	1	3	1	1	3	0	1	0	0	2	0	0	0	0	0	1	0	2	1	1	0	0	1	1	3	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_all	80	5516	3648	2304	1089	1148	639	685	434	736	412	532	332	293	608	483	151	194	113	299	275	147	215	107	151	70	92	66	105	134	49	82	43	82	38	29	76	31	39	29	48	26	21	49	28	22	27	24	20	60	19	21	19	13	15	18	8	23	14	13	14	8	11	12	8	5	8	6	4	8	4	6	2	4	5	13	3	3	4	3	1	6	9	3	2	6	3	5	5	10	6	1	3	1	2	3	2	1	2	2	2	0	0	1	0	0	0	1	3	1	1	1	1	3	1	4	0	1	1	0	0	0	1	2	3	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0
0.03	north3_active	80	2983	2220	1394	550	647	322	381	203	452	233	323	206	156	435	317	78	114	50	201	191	100	131	57	92	38	56	28	66	87	22	48	18	51	17	14	30	14	22	16	26	10	6	31	14	10	14	11	6	42	11	14	9	5	9	8	6	11	8	9	12	4	5	10	6	4	7	2	3	3	2	3	1	2	2	11	0	0	1	3	1	4	7	1	0	3	3	2	4	10	4	1	2	1	1	3	1	0	0	1	2	0	0	1	0	0	0	0	2	1	1	1	0	1	1	3	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north4_all	80	5530	3607	2239	1054	1107	628	659	421	747	428	520	336	293	600	480	147	200	117	309	285	162	250	107	153	75	93	60	103	142	54	77	51	86	37	26	61	30	42	29	46	23	20	58	27	22	27	25	20	62	22	24	23	12	10	17	6	20	15	12	15	12	8	10	8	12	10	7	7	11	4	6	3	5	6	8	3	3	2	2	2	6	14	2	2	4	4	5	3	14	9	2	2	1	1	3	1	0	8	1	0	0	0	2	1	0	1	1	2	4	1	2	1	2	0	3	0	1	1	0	0	0	1	1	3	2	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0
0.03	north4_active	80	3012	2142	1350	523	634	308	365	181	437	233	327	203	156	410	313	69	121	54	227	185	105	149	52	93	38	57	27	59	99	23	47	20	54	14	12	37	12	24	17	20	7	9	40	12	11	14	13	8	46	11	17	10	4	6	8	4	9	8	8	13	6	4	5	7	8	7	3	4	5	4	4	2	2	2	7	0	1	2	2	2	4	12	1	1	2	3	2	3	14	4	1	1	0	0	3	1	0	1	1	0	0	0	1	0	0	1	0	1	4	1	2	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north5_all	80	5565	3616	2310	1041	1120	645	626	408	789	450	523	315	276	601	497	147	193	127	302	283	166	241	116	162	73	85	63	111	137	52	92	57	89	33	32	66	29	43	23	57	22	25	66	22	20	32	28	24	32	22	18	20	10	10	11	8	16	11	14	15	15	5	13	8	18	10	5	8	10	5	4	3	6	5	5	4	7	3	2	5	4	14	4	1	3	1	3	5	15	11	2	3	2	3	5	1	0	8	1	0	0	0	9	1	0	3	2	1	4	1	2	2	0	0	3	0	1	1	0	0	0	1	2	2	3	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	3054	2193	1391	519	618	309	342	185	456	256	318	180	138	404	342	65	115	60	213	184	107	145	58	100	37	56	31	65	96	25	63	24	56	14	13	44	10	22	12	34	6	15	51	9	10	17	13	16	18	10	12	7	2	5	7	3	7	6	8	11	8	2	6	6	14	7	2	4	7	5	3	1	1	2	3	1	2	2	2	3	3	13	3	1	2	0	1	3	15	6	1	2	1	2	4	1	0	1	1	0	0	0	2	0	0	2	1	1	4	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
