label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207	Otu208	Otu209	Otu210	Otu211	Otu212	Otu213	Otu214	Otu215	Otu216	Otu217	Otu218	Otu219	Otu220	Otu221	Otu222	Otu223	Otu224	Otu225	Otu226	Otu227	Otu228	Otu229	Otu230	Otu231	Otu232	Otu233	Otu234	Otu235	Otu236	Otu237	Otu238	Otu239	Otu240	Otu241	Otu242	Otu243	Otu244	Otu245	Otu246	Otu247	Otu248	Otu249	Otu250	Otu251	Otu252	Otu253	Otu254	Otu255	Otu256	Otu257	Otu258	Otu259	Otu260	Otu261	Otu262	Otu263	Otu264	Otu265	Otu266
0.03	north1_all	80	9708	5101	1775	2642	954	841	642	619	653	678	397	368	283	371	210	281	168	267	352	167	239	159	121	218	156	222	99	206	94	119	88	118	72	73	111	68	79	40	48	58	62	54	36	32	44	38	30	43	41	34	21	32	33	35	32	27	42	37	28	27	31	52	21	10	19	26	10	18	24	15	15	17	26	8	9	13	13	16	16	14	6	8	7	9	7	8	5	2	16	17	13	6	7	8	11	13	8	2	3	11	8	9	5	5	8	1	2	7	4	6	2	3	0	3	3	0	3	4	1	3	2	2	4	3	0	0	1	1	1	1	1	3	6	2	2	1	0	1	2	1	1	0	2	3	3	0	1	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	1	0	1	2	1	0	0	0	3	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	6043	3252	913	1729	468	433	316	361	393	422	227	184	138	214	98	145	68	171	232	75	143	93	50	133	92	151	58	145	53	67	34	63	29	40	70	41	44	17	20	34	35	21	15	12	16	22	19	23	24	13	10	15	15	21	22	9	18	26	15	15	25	29	13	3	10	12	7	8	14	5	10	7	19	6	5	9	7	10	6	5	4	6	1	3	3	3	1	0	7	14	10	4	3	2	4	10	2	1	0	7	5	3	1	0	6	0	2	5	3	3	1	2	0	1	0	0	2	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	5	2	1	0	0	0	1	0	1	0	2	2	2	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	10033	5293	1883	2641	959	897	646	620	685	728	406	350	277	360	225	252	176	268	348	175	246	157	135	222	144	230	106	190	90	95	86	107	68	77	121	76	78	43	49	64	56	50	41	32	42	37	31	48	59	23	22	32	32	34	33	29	34	47	34	19	37	63	14	14	21	27	14	18	22	21	14	12	25	9	8	11	19	17	15	15	7	6	15	13	4	6	5	4	17	19	17	2	6	10	11	14	7	4	2	11	6	9	6	1	3	2	5	7	1	3	1	3	2	4	4	0	2	6	1	2	1	1	3	2	0	1	1	2	1	1	1	3	6	2	1	1	0	6	3	1	1	0	3	5	2	1	1	1	0	1	1	0	1	7	2	0	0	1	0	0	0	0	2	0	1	2	1	1	0	0	1	2	0	1	2	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	6308	3407	972	1740	473	475	326	360	419	463	225	172	130	203	107	125	81	165	225	84	154	89	62	147	86	159	77	123	48	50	38	50	30	43	77	48	46	23	25	39	34	22	15	9	12	22	22	29	32	10	13	17	17	23	23	9	12	37	23	11	29	44	8	3	10	12	8	10	15	7	8	8	18	3	4	7	10	11	5	5	5	4	9	5	2	3	2	2	9	14	15	1	2	2	4	10	2	3	0	7	5	2	2	0	1	1	2	4	0	1	0	2	2	1	0	0	1	2	0	1	0	0	2	1	0	0	0	2	1	0	1	1	5	2	0	0	0	0	2	0	1	0	3	5	1	1	1	1	0	1	1	0	0	6	2	0	0	0	0	0	0	0	2	0	0	2	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	10085	5360	1844	2600	960	891	612	639	698	688	425	343	275	337	242	259	175	250	348	168	241	153	134	212	166	261	127	172	102	86	77	92	62	86	116	79	85	42	40	55	62	45	34	38	42	27	35	46	65	34	20	29	21	28	42	30	27	50	28	22	38	55	23	15	28	26	19	25	21	22	12	15	24	9	10	9	16	13	13	9	9	5	17	11	4	6	5	5	15	16	18	4	16	9	9	12	7	4	5	15	4	8	6	1	0	2	4	8	2	3	2	4	2	4	4	4	1	4	3	1	0	2	5	3	0	3	1	2	1	0	1	4	6	1	2	2	1	9	1	0	1	0	3	4	2	1	1	1	1	1	0	0	0	7	2	0	0	2	0	0	0	0	2	0	1	2	1	2	0	0	0	2	0	1	0	1	0	0	0	1	0	3	0	0	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	6357	3428	956	1745	470	465	311	364	419	432	232	181	131	188	116	133	81	146	225	82	151	83	60	137	110	181	93	106	55	47	33	37	29	48	77	50	52	27	21	31	32	20	13	11	16	16	22	25	36	23	9	14	14	18	27	13	8	40	21	13	32	45	14	3	14	15	12	16	15	7	7	10	18	3	5	5	8	8	6	4	5	3	11	5	1	1	3	2	8	11	17	4	6	2	6	9	3	2	2	9	3	1	2	0	0	1	1	5	0	1	1	2	2	1	0	4	1	2	1	0	0	1	2	1	0	1	0	2	1	0	1	2	5	1	0	0	1	1	1	0	1	0	3	4	1	1	1	1	0	1	0	0	0	6	2	0	0	1	0	0	0	0	2	0	0	2	1	2	0	0	0	1	0	1	0	1	0	0	0	1	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	9820	5383	1867	2723	983	911	623	638	708	710	428	339	275	321	243	237	187	238	342	171	238	170	112	213	175	263	132	178	94	77	76	92	58	95	100	77	82	44	44	57	71	43	41	45	43	28	37	54	67	38	20	25	24	19	31	26	21	56	28	21	37	54	24	15	24	29	17	32	22	24	15	17	18	15	10	17	16	7	16	7	7	5	18	12	7	7	9	7	8	12	16	10	19	9	6	15	5	5	6	17	3	5	4	1	4	1	4	9	7	3	2	3	5	3	5	6	0	3	4	1	2	1	5	3	2	4	2	1	1	1	2	2	6	1	1	2	6	9	3	0	1	0	1	3	2	1	1	0	1	2	0	1	1	7	3	0	0	2	0	1	0	0	2	0	1	2	1	3	0	1	0	2	1	0	0	1	0	4	0	1	0	3	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	6074	3430	977	1842	475	483	325	351	423	438	236	180	126	178	122	127	90	141	216	86	143	83	55	124	110	185	85	108	49	45	37	40	23	55	67	46	52	22	23	25	41	20	19	16	21	17	20	29	35	30	11	14	11	14	18	11	11	44	19	15	20	46	14	5	10	22	10	23	18	11	10	13	15	6	3	8	9	3	10	3	3	2	13	4	1	3	4	3	7	7	14	7	6	2	3	12	3	3	2	7	3	1	1	0	4	1	1	6	5	1	2	2	3	2	1	6	0	1	3	1	1	1	2	0	0	2	1	1	1	1	2	2	5	1	0	0	3	1	2	0	1	0	1	3	1	1	1	0	0	2	0	1	0	6	2	0	0	1	0	0	0	0	2	0	0	2	1	3	0	0	0	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	9802	5302	1837	2737	971	907	622	659	684	681	452	353	278	330	256	245	176	213	362	160	228	170	113	220	168	258	139	171	89	92	65	96	54	89	96	71	89	41	45	54	79	43	41	32	35	33	25	47	58	39	22	28	23	20	28	27	30	45	27	25	42	39	27	20	21	27	20	29	22	22	14	20	17	12	13	19	14	10	16	3	6	4	11	10	8	7	8	5	7	13	10	10	18	4	10	14	7	7	8	22	4	7	4	0	9	0	5	7	9	2	4	4	5	3	5	6	0	3	4	2	3	1	3	3	2	3	2	1	1	1	2	2	1	0	1	2	6	5	4	0	0	0	0	1	3	1	1	0	1	1	0	1	1	13	2	0	0	1	0	1	1	0	0	0	0	2	0	3	0	1	0	0	1	0	0	2	0	4	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	6065	3361	950	1840	468	484	310	361	388	429	236	195	121	173	133	136	82	132	228	81	134	86	51	129	99	168	80	103	47	51	30	49	21	51	62	40	55	19	23	29	52	20	19	12	21	18	13	28	25	29	10	16	12	10	14	13	18	27	17	17	25	29	14	8	10	20	12	20	18	11	11	16	10	5	5	10	7	4	11	1	2	2	5	4	2	2	3	2	6	9	8	6	6	2	5	9	5	3	4	6	4	3	0	0	6	0	2	5	5	1	2	1	3	2	1	6	0	3	3	1	1	1	1	0	0	2	2	1	1	1	2	2	0	0	0	0	3	2	3	0	0	0	0	1	2	1	1	0	0	1	0	1	0	13	1	0	0	1	0	0	1	0	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
