label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199
0.03	north1_all	80	691	597	293	186	142	91	155	81	64	52	76	110	26	62	58	19	19	22	61	34	18	17	34	17	19	14	51	9	6	10	4	7	6	12	11	9	22	6	11	13	8	6	13	3	7	4	5	6	8	5	2	3	4	1	0	4	3	2	4	8	2	3	3	2	1	8	2	4	2	0	3	3	0	1	2	4	2	3	4	1	5	2	1	1	3	3	0	2	0	3	0	4	1	0	0	1	0	1	0	0	0	0	2	1	6	2	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
0.03	north1_active	80	325	354	159	102	62	40	85	39	24	24	35	56	11	31	32	8	8	7	37	15	4	10	23	9	13	6	33	4	2	5	3	1	4	3	4	7	9	3	3	5	3	1	11	3	4	2	3	4	6	2	0	1	1	1	0	3	2	2	2	3	0	0	0	0	0	5	1	3	0	0	0	3	0	0	1	2	1	3	1	0	4	0	0	0	2	1	0	2	0	3	0	4	1	0	0	0	0	0	0	0	0	0	1	1	3	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	694	617	278	178	137	88	137	79	73	57	77	105	24	77	55	20	23	13	58	32	24	22	33	19	17	17	48	11	8	11	13	5	6	13	11	11	20	5	9	11	10	3	2	7	12	5	6	10	4	4	2	4	4	0	2	3	4	2	2	5	5	4	4	3	2	6	1	6	3	2	6	3	2	3	3	2	2	1	3	0	6	3	1	3	4	3	0	4	0	3	0	4	1	0	0	3	0	0	0	0	0	0	2	1	5	2	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	328	373	151	89	57	34	67	33	26	25	34	61	10	43	29	8	10	4	31	14	8	12	18	8	10	6	29	6	3	4	10	2	3	3	2	7	6	2	3	4	6	0	2	6	5	2	3	6	4	2	0	2	2	0	1	1	2	0	2	1	2	2	1	0	0	4	0	5	0	0	1	3	2	1	2	1	1	1	1	0	5	0	0	2	1	1	0	4	0	3	0	4	1	0	0	0	0	0	0	0	0	0	1	1	3	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	713	635	259	176	146	89	117	76	68	64	67	103	34	84	53	36	34	20	58	33	23	23	27	17	23	16	43	12	11	9	15	6	5	13	9	13	16	4	7	8	11	3	2	8	11	2	7	11	2	3	2	4	3	1	3	3	4	4	5	6	4	3	6	3	2	4	0	6	3	2	5	3	2	3	3	3	1	1	3	0	4	3	2	2	3	5	0	5	0	3	0	3	2	1	0	2	0	0	0	1	0	0	2	0	3	2	1	0	0	0	0	1	2	0	0	1	0	1	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	344	374	139	92	75	41	53	30	28	29	33	70	12	50	23	17	13	10	25	17	8	13	13	8	15	5	23	8	6	3	10	4	3	5	0	7	3	1	1	5	7	1	0	5	5	1	3	6	2	1	0	3	2	1	2	1	0	1	4	0	2	2	2	0	0	4	0	6	0	0	2	1	2	1	2	3	0	0	1	0	4	0	0	2	1	2	0	5	0	3	0	3	1	1	0	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	738	640	256	188	152	92	111	72	56	58	74	84	34	88	51	47	31	27	42	26	21	26	32	13	33	15	37	12	9	8	17	9	8	12	6	11	11	5	7	7	12	6	8	9	9	2	7	10	2	5	4	2	2	1	4	2	5	4	5	9	4	5	3	3	2	3	2	5	1	2	5	2	2	3	4	4	3	2	0	0	4	2	2	2	2	4	0	4	0	0	0	3	2	1	1	3	0	1	0	3	0	0	0	0	0	2	1	0	0	1	0	1	2	0	0	1	0	2	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	367	364	143	96	76	45	53	26	25	29	40	57	13	64	24	25	11	11	17	13	11	14	19	5	23	2	18	8	4	3	11	7	4	3	1	6	4	2	3	4	8	3	2	4	4	1	3	5	1	1	1	2	1	1	3	0	0	1	4	2	2	4	2	1	1	3	1	5	0	0	2	0	2	1	3	3	1	1	0	0	3	0	0	2	0	2	0	3	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	2	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	728	634	290	205	176	100	115	72	55	56	75	90	38	83	45	51	28	30	52	33	21	21	30	16	27	11	25	10	12	9	13	10	8	9	6	10	9	7	10	4	11	8	8	7	10	5	5	6	3	6	4	3	2	2	2	2	5	2	4	6	0	4	2	3	3	2	3	3	3	2	4	3	1	1	3	3	4	2	0	0	3	0	5	0	3	3	0	2	0	0	0	0	2	1	1	3	0	1	0	3	0	0	0	1	0	0	0	5	0	2	0	0	2	0	0	1	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	353	344	165	106	91	48	63	34	28	29	42	64	16	61	21	26	12	14	24	15	12	12	22	4	20	3	11	6	6	5	4	7	6	3	2	5	5	3	6	1	5	5	2	1	4	1	1	3	2	2	1	1	2	1	2	0	0	1	2	2	0	2	1	1	1	2	2	3	1	0	2	1	1	0	3	2	2	1	0	0	1	0	2	0	2	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	5	0	1	0	0	2	0	0	1	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
