label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207	Otu208	Otu209	Otu210	Otu211	Otu212	Otu213	Otu214	Otu215	Otu216	Otu217	Otu218	Otu219	Otu220	Otu221	Otu222	Otu223	Otu224	Otu225	Otu226	Otu227	Otu228	Otu229	Otu230	Otu231	Otu232	Otu233	Otu234	Otu235	Otu236	Otu237	Otu238	Otu239	Otu240	Otu241	Otu242	Otu243	Otu244	Otu245	Otu246	Otu247	Otu248	Otu249	Otu250	Otu251	Otu252	Otu253	Otu254	Otu255	Otu256	Otu257	Otu258	Otu259	Otu260	Otu261	Otu262	Otu263	Otu264	Otu265	Otu266	Otu267	Otu268	Otu269	Otu270	Otu271	Otu272	Otu273	Otu274	Otu275	Otu276	Otu277	Otu278	Otu279	Otu280	Otu281	Otu282	Otu283	Otu284	Otu285	Otu286	Otu287
0.03	north1_all	80	3082	3938	2434	1389	685	626	487	978	612	271	565	241	173	226	254	195	132	154	138	137	118	249	173	119	87	178	61	88	167	68	111	195	67	60	53	58	94	34	50	55	36	23	38	61	57	30	50	27	72	22	13	26	28	26	49	23	19	32	13	18	16	44	24	20	31	17	39	14	15	10	9	15	6	7	11	12	12	12	10	16	9	15	6	6	6	7	8	4	4	7	9	8	19	2	11	9	10	5	4	2	8	7	1	12	6	17	2	3	3	2	0	5	5	2	1	9	2	7	3	0	3	1	6	1	2	3	4	1	3	0	0	11	7	2	3	8	1	4	0	2	5	1	1	2	0	1	0	3	2	2	2	0	2	2	3	4	0	2	1	0	3	0	2	3	1	0	2	5	0	0	1	2	0	2	0	1	0	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north1_active	80	1406	2485	1506	787	352	329	253	587	384	124	379	113	83	124	155	101	66	78	60	80	62	165	121	65	45	112	24	52	108	44	61	121	30	30	18	32	59	20	24	33	21	11	19	37	32	17	33	15	44	10	4	13	13	7	29	12	6	19	6	8	9	34	16	15	24	9	25	4	10	5	6	8	4	3	5	7	6	3	7	8	6	12	5	3	3	3	4	1	2	5	3	7	18	0	5	5	2	2	1	1	7	3	0	10	1	11	0	2	3	1	0	2	2	1	0	5	1	5	1	0	2	0	6	1	2	2	1	1	1	0	0	9	7	1	3	3	1	1	0	1	2	0	1	1	0	0	0	3	2	2	2	0	2	0	2	4	0	1	1	0	1	0	1	3	1	0	0	5	0	0	0	2	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	3124	3953	2431	1474	689	612	501	986	633	263	579	254	163	250	264	173	133	154	141	126	129	237	192	119	98	176	70	88	169	81	129	202	80	57	50	47	81	27	49	61	46	30	40	65	50	26	48	28	49	19	13	21	29	22	37	19	18	28	23	20	19	35	19	18	26	19	42	16	17	8	12	19	8	7	11	14	14	16	7	21	8	14	7	7	6	7	9	3	5	7	7	8	20	1	10	3	7	5	6	3	7	9	2	13	3	16	1	1	5	0	0	5	3	3	3	10	4	8	4	0	4	2	5	2	0	3	6	1	2	2	0	11	8	3	8	4	0	2	0	3	2	0	4	4	1	1	0	2	2	3	2	0	2	0	3	5	0	2	1	0	3	0	2	3	1	0	1	4	0	0	1	2	0	3	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north2_active	80	1420	2531	1491	883	358	312	270	588	375	120	372	121	69	139	169	89	65	76	64	70	66	154	134	65	52	108	28	50	107	44	70	130	38	26	17	25	51	16	20	40	27	14	27	45	30	13	33	16	28	8	7	10	14	10	25	10	5	14	13	10	9	28	13	12	19	13	26	8	10	5	8	8	5	2	6	8	10	3	7	14	4	8	5	4	2	4	6	1	2	4	3	6	15	0	5	1	2	2	3	1	5	5	1	12	2	12	0	1	4	0	0	2	1	1	1	5	1	6	0	0	1	0	5	1	0	2	3	1	1	0	0	9	8	2	8	3	0	0	0	1	1	0	3	3	0	0	0	2	2	2	2	0	2	0	2	5	0	1	1	0	1	0	1	3	1	0	0	4	0	0	0	2	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	3159	3974	2382	1502	686	618	528	946	600	234	545	236	171	243	278	174	152	149	130	134	137	224	185	118	107	169	65	97	170	79	139	192	65	52	49	43	76	23	48	58	42	27	34	58	51	23	42	33	51	22	17	26	23	22	31	20	21	29	23	18	13	38	25	24	18	21	31	16	23	7	16	14	12	16	12	12	18	11	9	20	9	12	6	9	4	6	13	5	8	6	4	8	15	1	11	3	7	3	6	5	6	7	2	9	5	15	1	1	4	0	3	6	1	3	3	11	4	5	3	1	4	1	6	2	0	3	8	0	2	2	1	10	4	2	8	4	0	1	0	2	0	1	3	3	2	0	0	2	0	1	2	0	2	0	3	4	0	0	1	1	3	0	1	3	0	0	1	1	0	0	0	1	0	3	1	0	1	0	3	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	1	0	0	0	2	0	1	0	0	0	0	6	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	1437	2545	1405	934	360	309	279	566	355	109	325	124	70	131	179	100	77	72	62	61	71	134	121	67	52	111	22	57	99	40	84	111	31	25	18	25	46	11	20	35	24	14	20	37	31	14	26	19	27	9	10	12	11	13	21	11	8	16	13	8	6	27	20	15	13	14	16	6	13	5	10	5	9	7	7	6	13	1	7	10	5	6	3	6	1	5	9	2	3	5	1	5	10	0	5	0	1	1	5	1	4	5	1	8	2	12	0	0	3	0	1	2	1	1	1	4	0	3	0	1	2	0	5	1	0	2	5	0	1	0	0	8	4	2	7	4	0	0	0	1	0	1	2	3	1	0	0	2	0	0	2	0	2	0	3	4	0	0	1	1	1	0	0	3	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3092	3932	2316	1469	676	585	524	956	573	250	559	222	166	246	280	189	179	143	115	144	137	256	182	119	96	153	60	114	167	75	148	182	51	48	47	41	62	24	52	54	41	27	37	56	61	26	29	34	59	21	24	24	25	26	36	13	17	32	24	20	16	30	21	24	17	16	19	15	21	9	15	10	11	18	13	8	22	8	5	22	8	16	9	8	5	6	11	4	8	6	5	9	14	0	6	6	9	4	4	4	7	5	1	6	7	4	3	3	4	2	14	5	1	2	4	6	3	8	4	3	3	2	2	2	4	1	4	0	2	2	1	10	2	2	8	7	0	1	1	1	0	1	3	3	3	0	0	2	1	1	0	0	0	0	2	4	0	0	0	1	1	2	4	1	0	1	1	2	0	0	0	0	0	4	1	1	3	0	2	0	0	0	1	0	0	0	0	0	1	3	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	1	0	2	0	1	0	0	0	2	0	1	0	0	0	0	6	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1402	2491	1335	935	341	288	286	588	325	121	345	122	60	142	178	102	83	73	56	65	65	160	111	74	41	96	21	68	111	31	85	98	27	23	17	15	33	8	23	33	23	15	23	29	34	13	17	19	26	7	13	13	13	14	23	7	9	19	14	11	7	20	14	11	10	12	10	6	12	6	9	3	9	8	10	4	16	0	3	13	4	7	6	5	2	4	8	2	2	3	4	6	8	0	4	3	3	0	4	1	3	5	1	6	4	2	0	0	3	1	12	1	1	1	2	2	0	6	1	2	1	0	1	1	4	0	4	0	1	0	0	8	2	2	7	5	0	1	1	0	0	1	2	3	1	0	0	2	1	0	0	0	0	0	2	4	0	0	0	1	0	1	4	1	0	1	0	1	0	0	0	0	0	2	0	1	3	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3101	3994	2341	1461	671	585	556	968	613	247	563	184	177	258	293	185	173	144	125	131	120	238	175	130	89	163	54	115	199	66	146	159	50	51	48	43	53	22	55	46	36	30	38	49	64	22	25	43	84	20	26	23	20	20	41	13	16	29	16	14	16	31	24	21	24	21	14	16	14	10	17	6	12	24	10	10	27	7	9	17	9	11	11	7	4	7	10	3	6	9	4	7	12	1	8	7	10	2	3	5	8	4	2	10	9	6	3	5	2	2	14	3	1	1	4	5	2	6	2	4	2	2	4	0	4	1	3	2	2	1	1	4	1	2	2	6	0	1	1	3	0	2	2	0	3	1	0	2	1	0	0	0	1	0	1	6	0	0	0	1	2	2	4	0	0	1	0	4	0	0	0	0	1	3	1	1	3	1	2	0	0	0	0	1	1	0	0	0	1	2	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	2	0	1	0	0	0	2	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_active	80	1394	2556	1378	948	336	302	290	605	373	106	344	100	78	135	188	97	92	73	63	53	54	141	100	76	34	94	15	70	128	27	80	90	21	27	15	19	29	8	27	21	19	18	20	20	35	10	13	25	41	7	12	15	9	10	27	6	9	18	9	7	9	18	14	12	16	16	9	4	7	6	12	2	11	14	8	6	19	0	4	10	4	4	7	4	2	5	8	2	2	4	3	5	9	0	6	4	5	0	3	1	3	4	2	9	5	3	1	0	2	1	12	1	1	0	2	2	1	5	1	2	1	1	3	0	4	1	3	1	1	0	0	3	0	1	1	4	0	1	1	2	0	1	2	0	1	1	0	2	1	0	0	0	0	0	1	6	0	0	0	1	2	1	4	0	0	1	0	2	0	0	0	0	1	2	0	1	3	1	0	0	0	0	0	1	1	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
