label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207	Otu208	Otu209	Otu210	Otu211	Otu212	Otu213	Otu214	Otu215	Otu216	Otu217	Otu218	Otu219	Otu220	Otu221	Otu222	Otu223	Otu224	Otu225	Otu226	Otu227	Otu228	Otu229	Otu230	Otu231	Otu232	Otu233	Otu234	Otu235	Otu236	Otu237	Otu238	Otu239	Otu240	Otu241	Otu242	Otu243	Otu244	Otu245	Otu246	Otu247	Otu248	Otu249	Otu250	Otu251	Otu252	Otu253	Otu254	Otu255	Otu256	Otu257	Otu258	Otu259	Otu260	Otu261	Otu262	Otu263	Otu264	Otu265	Otu266	Otu267	Otu268	Otu269	Otu270	Otu271	Otu272	Otu273	Otu274	Otu275	Otu276	Otu277	Otu278	Otu279	Otu280	Otu281	Otu282	Otu283	Otu284	Otu285	Otu286	Otu287	Otu288	Otu289	Otu290	Otu291	Otu292	Otu293	Otu294	Otu295	Otu296	Otu297	Otu298	Otu299	Otu300	Otu301	Otu302	Otu303	Otu304	Otu305	Otu306	Otu307	Otu308	Otu309	Otu310	Otu311	Otu312	Otu313
0.03	north1_all	80	8527	6486	1600	1808	890	661	620	547	538	446	337	675	365	345	271	237	451	481	173	159	130	427	180	355	104	102	118	192	102	251	84	82	163	55	72	88	61	71	164	68	112	66	139	40	53	165	52	46	39	66	53	20	34	60	19	30	107	42	27	30	25	34	92	18	17	60	31	21	26	16	21	20	28	24	15	24	13	13	25	17	9	7	14	21	26	14	18	18	12	9	18	12	14	11	7	4	5	14	12	8	6	7	12	8	11	9	13	15	9	9	20	3	14	1	4	3	4	10	16	6	7	6	7	1	2	2	2	5	2	11	1	1	3	7	0	3	2	5	4	1	3	0	4	2	1	2	3	2	0	1	3	4	4	1	3	4	3	3	2	5	0	1	1	1	0	4	1	1	2	2	3	2	1	1	0	5	2	1	1	0	1	1	3	1	3	1	0	2	5	0	0	0	0	0	0	1	0	0	2	0	2	2	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	6708	5666	730	1343	290	140	141	277	285	239	123	531	226	207	133	126	395	429	53	72	29	371	116	308	37	33	55	147	28	205	21	39	135	14	43	66	20	42	146	39	94	43	125	13	38	152	32	30	20	50	41	9	7	50	7	13	101	29	16	17	9	23	84	10	7	54	16	13	8	8	16	13	12	13	7	18	3	4	19	1	7	0	3	8	22	5	12	14	8	3	14	5	10	1	2	1	2	13	8	3	3	3	8	2	6	3	6	14	5	9	19	3	12	0	2	3	2	7	10	0	5	0	5	0	1	1	0	1	0	10	0	1	3	7	0	0	2	3	3	1	1	0	3	1	0	2	1	1	0	0	0	1	4	1	2	2	2	1	1	5	0	0	1	1	0	2	1	0	1	0	2	0	0	0	0	5	2	1	1	0	0	1	2	0	3	0	0	1	5	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	8936	6996	1632	1862	887	654	641	553	577	463	343	707	407	350	279	238	503	490	169	172	136	490	197	414	111	108	107	217	100	280	79	94	167	53	81	98	58	57	154	59	143	65	155	40	56	184	59	53	36	75	45	20	33	59	18	34	153	57	29	38	24	42	90	21	16	60	24	23	24	18	28	15	22	22	17	26	14	14	23	13	12	10	12	17	17	9	18	18	12	11	19	10	13	6	7	6	4	21	9	4	6	7	10	5	9	9	12	18	5	10	26	3	15	2	4	5	7	26	16	7	8	4	9	2	2	5	3	2	3	10	3	3	7	11	2	3	3	5	5	2	2	1	5	1	1	2	3	4	0	1	3	3	3	1	1	4	2	2	2	7	0	1	0	1	0	3	1	3	2	2	3	2	1	0	0	5	2	1	1	0	1	2	3	1	3	0	0	1	5	0	5	0	1	0	0	1	0	0	1	0	18	1	1	0	0	0	0	1	0	0	0	3	0	1	0	1	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	7102	6220	773	1390	292	138	162	289	330	260	128	581	275	213	137	131	445	435	52	88	33	440	132	379	42	34	49	166	26	234	25	47	137	10	47	72	20	31	139	35	125	42	142	17	38	171	32	37	20	58	38	9	6	51	8	19	149	41	14	20	9	31	81	11	4	50	14	17	6	9	24	9	11	13	9	22	4	6	18	1	7	2	3	6	15	2	13	14	10	4	15	5	9	1	3	2	2	19	7	3	2	4	5	1	5	3	5	17	3	9	25	3	13	1	2	5	3	22	9	1	5	0	6	0	0	3	0	2	1	9	1	3	7	11	0	0	2	3	2	2	1	1	3	0	0	2	2	2	0	0	0	2	3	1	0	2	1	0	1	7	0	0	0	1	0	1	1	1	1	0	3	0	0	0	0	5	2	1	1	0	1	2	2	0	3	0	0	1	5	0	5	0	1	0	0	0	0	0	1	0	17	0	1	0	0	0	0	1	0	0	0	3	0	1	0	1	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	8942	6819	1579	1868	841	682	647	541	549	483	330	669	415	322	272	245	521	487	163	185	135	451	171	399	115	111	101	193	89	276	76	88	170	52	81	95	55	51	137	55	164	57	143	47	69	156	59	46	33	69	43	26	29	54	22	34	165	64	27	41	26	46	82	25	17	62	27	24	25	18	27	19	19	21	18	28	10	16	18	11	18	10	12	12	21	11	18	17	16	7	22	10	10	10	8	7	4	26	7	5	4	10	13	7	10	7	4	4	6	4	15	3	19	4	2	15	6	25	14	7	5	4	5	2	4	7	2	1	3	1	3	3	6	10	4	1	3	1	4	3	3	1	5	1	2	1	3	5	0	1	1	3	2	0	0	5	2	0	3	3	1	3	0	1	0	3	2	2	1	2	1	1	1	0	0	5	1	1	1	0	1	10	4	1	1	1	0	1	0	0	5	0	1	0	0	1	0	0	1	0	18	1	1	0	0	2	0	1	0	0	0	3	0	1	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
0.03	north3_active	80	7104	6056	747	1397	280	157	163	275	313	268	114	552	287	196	133	132	462	422	56	101	34	405	113	361	48	37	40	149	21	244	21	43	143	8	47	68	20	29	123	32	141	33	130	18	52	147	30	28	17	55	35	10	5	45	11	18	159	49	11	22	8	31	74	11	5	53	18	18	9	8	23	12	11	13	11	24	4	6	12	2	10	3	3	6	18	4	13	12	13	2	16	7	8	2	4	2	1	21	6	3	1	4	8	1	7	3	2	4	3	3	13	3	15	2	0	13	2	22	7	2	2	0	3	0	2	3	0	1	1	1	2	2	6	10	1	0	2	0	2	2	1	1	2	0	0	1	2	3	0	0	0	2	1	0	0	3	1	0	2	3	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	5	1	1	1	0	1	10	3	0	1	0	0	1	0	0	5	0	1	0	0	0	0	0	1	0	17	0	1	0	0	2	0	1	0	0	0	3	0	1	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	9055	6896	1575	1888	861	710	646	537	544	487	323	646	390	317	271	244	552	500	166	198	144	517	200	448	116	124	101	181	73	271	71	81	194	65	74	97	61	50	149	57	146	64	132	38	66	124	56	48	36	68	46	29	29	59	26	32	145	67	27	41	28	45	71	23	20	65	23	21	21	22	26	15	14	15	20	18	8	16	19	11	20	14	12	10	22	7	10	15	17	10	14	11	12	11	9	7	3	25	6	5	3	8	8	7	15	6	4	6	2	7	21	1	22	7	3	16	4	32	12	3	5	4	2	2	6	7	1	2	6	1	3	3	8	14	5	0	8	0	4	4	2	1	4	0	2	0	2	5	0	2	1	4	2	1	1	1	2	0	3	3	2	2	2	0	0	2	2	2	0	1	1	0	2	0	0	3	0	1	0	0	1	10	3	1	5	1	0	0	0	0	6	0	1	0	0	0	0	0	0	1	17	1	1	0	0	2	0	0	0	0	1	1	0	1	0	1	2	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	7161	6126	729	1416	279	169	169	292	309	270	116	548	263	177	158	130	484	421	64	104	43	474	130	410	50	39	44	135	18	243	21	43	166	17	39	72	17	27	132	30	126	43	118	15	46	115	31	28	15	48	33	7	4	48	13	15	140	48	11	23	6	33	65	9	8	56	19	13	11	13	22	11	7	9	13	15	4	7	14	4	11	3	4	4	19	3	7	10	15	4	9	8	9	2	5	2	1	20	4	3	0	3	6	1	11	4	2	5	1	4	18	1	20	5	2	14	2	27	9	2	2	0	1	0	2	3	0	1	6	1	2	2	7	14	1	0	7	0	2	3	0	1	1	0	0	0	1	3	0	0	0	2	1	0	1	1	0	0	2	3	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	3	0	1	0	0	1	10	2	0	5	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	17	0	1	0	0	2	0	0	0	0	1	1	0	1	0	1	2	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	9089	6835	1588	1893	853	715	624	580	520	486	337	615	403	306	282	248	563	504	179	184	151	488	200	446	118	119	105	163	74	242	69	76	193	69	65	112	55	53	153	74	132	64	147	37	62	148	52	42	41	70	46	30	32	62	30	35	106	52	20	32	22	33	88	23	23	54	20	21	20	24	22	13	22	11	18	22	11	14	30	13	20	12	9	9	28	12	11	19	20	6	14	10	8	9	12	9	4	13	4	7	3	8	7	8	17	6	2	6	6	6	16	3	18	9	4	23	2	29	7	3	16	4	2	4	6	5	0	2	7	0	4	4	4	11	3	0	6	1	2	2	2	0	4	0	3	0	3	3	0	3	1	3	2	2	2	8	2	1	2	2	3	2	2	1	0	1	2	1	0	0	1	0	1	1	2	3	1	1	0	2	2	8	1	1	5	2	0	1	0	0	1	0	0	0	1	1	0	0	0	1	15	1	1	0	0	2	0	0	0	0	1	0	0	1	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	7216	6093	729	1427	276	169	172	319	281	273	123	517	276	172	171	126	494	417	71	96	49	448	131	401	52	36	47	123	17	215	17	36	167	21	33	87	12	29	136	40	113	40	134	12	46	138	30	22	13	48	30	9	3	51	15	16	100	38	6	23	3	26	79	9	10	46	16	16	9	17	16	9	16	5	10	17	4	5	25	6	9	3	2	4	23	5	9	14	18	3	8	7	7	2	11	2	1	10	2	3	0	2	6	1	14	4	0	5	4	4	11	1	14	7	4	21	1	25	5	2	14	0	0	1	2	1	0	0	5	0	3	3	3	11	1	0	6	1	2	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	8	0	1	2	2	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	3	1	1	0	1	2	8	1	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15	1	1	0	0	2	0	0	0	0	1	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
