label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207	Otu208	Otu209	Otu210	Otu211	Otu212	Otu213	Otu214	Otu215	Otu216	Otu217	Otu218	Otu219	Otu220	Otu221	Otu222	Otu223	Otu224	Otu225	Otu226	Otu227	Otu228	Otu229	Otu230	Otu231	Otu232	Otu233	Otu234	Otu235	Otu236	Otu237	Otu238	Otu239	Otu240	Otu241	Otu242	Otu243	Otu244	Otu245	Otu246	Otu247	Otu248	Otu249	Otu250	Otu251	Otu252	Otu253	Otu254	Otu255	Otu256	Otu257	Otu258	Otu259	Otu260	Otu261	Otu262	Otu263	Otu264	Otu265	Otu266	Otu267	Otu268	Otu269	Otu270	Otu271	Otu272	Otu273	Otu274	Otu275	Otu276	Otu277	Otu278	Otu279	Otu280	Otu281	Otu282	Otu283	Otu284	Otu285	Otu286	Otu287	Otu288	Otu289	Otu290	Otu291	Otu292	Otu293	Otu294	Otu295	Otu296	Otu297	Otu298	Otu299	Otu300	Otu301	Otu302	Otu303	Otu304	Otu305	Otu306	Otu307	Otu308	Otu309	Otu310	Otu311	Otu312	Otu313	Otu314	Otu315	Otu316	Otu317	Otu318	Otu319	Otu320	Otu321	Otu322	Otu323	Otu324	Otu325	Otu326	Otu327	Otu328	Otu329	Otu330	Otu331	Otu332	Otu333	Otu334	Otu335	Otu336	Otu337	Otu338	Otu339	Otu340	Otu341	Otu342	Otu343	Otu344	Otu345	Otu346	Otu347	Otu348	Otu349	Otu350	Otu351	Otu352	Otu353	Otu354	Otu355	Otu356	Otu357	Otu358	Otu359	Otu360	Otu361	Otu362	Otu363	Otu364	Otu365	Otu366	Otu367	Otu368	Otu369	Otu370	Otu371	Otu372	Otu373
0.03	north1_all	80	5658	4147	1461	1618	1568	1722	755	1009	406	1083	304	351	480	462	255	365	249	173	172	153	151	239	163	100	267	151	101	105	190	129	110	160	109	170	133	61	124	59	91	51	40	138	76	53	57	61	37	52	46	31	91	38	66	33	37	28	95	72	19	31	29	23	27	36	40	61	35	54	52	24	23	29	30	14	31	25	42	10	26	28	9	19	11	27	14	24	9	14	14	21	26	34	39	8	10	11	10	27	18	12	10	18	6	7	7	8	19	9	7	9	11	6	10	3	17	13	7	7	9	4	8	4	9	7	5	12	7	6	6	7	1	9	5	14	3	4	7	16	3	5	1	6	1	4	3	3	7	6	4	3	2	1	0	3	2	6	3	2	4	5	4	9	4	2	5	7	1	1	2	1	0	1	3	2	4	0	0	2	5	2	1	1	3	1	1	3	0	0	4	3	3	1	2	1	1	0	0	2	0	0	0	4	3	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	6	0	1	1	1	1	1	0	0	0	0	0	2	0	0	2	0	0	1	1	0	1	1	2	0	1	0	0	3	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3224	2629	722	946	975	1090	435	672	199	670	148	193	311	298	122	212	125	91	85	74	78	140	90	46	163	90	56	60	122	74	73	99	55	110	78	31	80	39	51	24	14	91	47	27	29	30	19	32	25	17	58	20	30	16	16	12	68	41	12	20	10	13	14	18	21	40	20	35	37	10	8	15	15	2	18	8	27	6	17	13	5	8	7	19	7	9	5	5	9	13	18	24	25	4	7	6	4	19	16	5	2	10	2	2	0	5	14	2	1	1	7	4	7	0	14	5	3	5	5	2	4	1	4	4	2	4	4	4	4	5	0	6	4	5	1	1	6	13	3	2	0	3	1	2	0	1	2	3	2	0	1	1	0	2	1	3	2	2	3	3	1	4	2	2	2	6	0	0	2	0	0	0	1	1	4	0	0	0	2	0	0	0	1	1	1	2	0	0	0	3	2	0	1	1	0	0	0	2	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5588	4020	1454	1557	1568	1730	723	1016	394	1140	309	347	496	492	252	371	233	181	176	160	139	222	156	118	268	160	88	115	175	110	106	162	96	170	117	70	130	50	96	48	41	151	82	52	59	62	37	57	55	28	71	32	49	36	37	33	83	67	32	29	22	24	25	41	36	54	28	51	43	23	17	30	17	18	38	27	39	11	19	24	11	16	9	20	15	23	8	12	14	27	21	35	43	11	12	12	8	18	14	12	10	23	5	9	8	7	20	12	6	10	18	3	21	5	19	9	5	10	6	0	9	9	10	5	4	9	9	7	6	5	1	11	5	18	9	5	7	15	5	5	3	6	3	1	5	2	8	2	3	3	5	1	2	2	2	3	3	2	6	6	3	4	0	0	5	5	2	1	3	0	0	2	2	1	3	1	2	3	4	2	1	2	2	1	0	1	0	0	2	3	2	1	0	1	1	0	0	2	0	0	0	4	2	2	0	1	0	0	0	1	2	2	0	0	0	0	0	0	6	0	1	1	0	1	1	3	0	0	0	0	2	0	0	2	0	0	1	1	0	0	1	3	0	1	0	1	2	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3164	2531	701	880	990	1097	418	657	193	713	157	184	340	329	135	222	112	94	89	84	77	132	82	57	163	90	47	55	109	60	62	97	53	106	68	33	77	35	57	20	19	100	49	26	31	36	23	32	26	12	40	15	25	14	16	15	56	39	19	17	10	13	13	23	19	33	17	38	28	10	4	13	11	6	24	8	17	4	14	14	6	6	8	15	8	10	4	5	6	22	16	22	28	9	10	8	2	11	9	7	4	11	4	4	3	3	18	5	2	1	12	2	16	1	16	4	2	4	3	0	5	3	5	2	1	4	4	4	4	3	0	7	3	8	3	3	6	13	5	2	2	5	1	0	1	0	3	1	2	0	3	1	2	2	2	2	1	2	4	3	1	1	0	0	2	4	0	0	3	0	0	0	1	1	3	0	0	0	1	0	0	1	1	1	0	0	0	0	0	3	1	0	0	1	0	0	0	2	0	0	0	3	2	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	6	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5500	4001	1426	1563	1515	1677	755	998	418	1087	321	338	500	497	265	374	233	176	167	161	145	227	160	118	256	169	83	120	185	119	115	162	82	157	117	74	125	57	89	54	49	132	85	51	50	57	34	53	56	36	79	43	45	38	42	40	86	56	29	25	26	28	24	33	40	67	34	57	51	27	16	36	19	16	46	24	35	14	22	23	15	17	9	16	13	22	11	16	14	24	18	33	27	17	15	14	10	20	11	15	11	20	7	7	8	7	22	11	9	10	23	8	20	3	12	14	8	12	1	1	6	10	8	5	2	7	9	7	2	4	5	8	6	13	8	6	7	14	4	5	4	5	2	5	5	6	8	3	3	3	6	1	3	1	1	3	1	1	5	5	2	5	1	0	4	1	3	0	3	1	0	2	2	1	3	1	2	3	3	2	1	2	1	0	0	0	0	1	2	3	2	0	0	1	1	0	0	1	0	0	0	4	3	2	0	1	0	0	0	2	2	2	0	0	1	0	1	0	0	0	0	0	0	1	1	3	0	0	1	0	2	0	0	2	1	0	0	1	0	0	2	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3061	2513	663	890	946	1092	451	641	197	691	172	183	334	322	142	231	110	86	93	84	78	136	87	58	157	105	43	52	115	61	67	108	52	91	72	33	81	34	50	25	25	95	51	26	20	31	20	33	28	16	50	16	26	14	17	16	53	34	18	14	15	16	13	19	23	49	21	33	38	14	5	18	14	6	31	6	16	5	11	14	8	7	7	11	7	12	7	7	6	20	14	23	20	12	13	10	2	14	7	9	4	8	5	4	5	2	19	5	4	4	17	5	12	1	10	7	5	4	0	0	4	4	5	0	1	3	4	5	1	2	2	6	3	8	2	3	6	9	4	3	3	4	0	4	1	4	3	0	3	0	4	1	3	1	1	2	0	1	3	2	0	2	0	0	2	1	1	0	3	1	0	0	1	1	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	1	0	0	0	3	3	2	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5537	4048	1343	1502	1528	1656	760	1015	406	1057	314	322	480	455	234	369	221	180	180	149	142	206	147	109	255	173	98	122	191	116	106	157	79	158	98	75	119	62	101	54	49	120	71	57	55	58	39	50	55	39	79	50	55	36	47	39	98	54	31	18	27	33	24	34	39	63	35	47	56	24	16	27	23	16	39	15	35	15	20	18	16	15	9	17	12	21	11	16	14	25	22	36	18	19	17	16	10	21	14	12	6	16	6	7	8	4	21	15	8	8	26	9	21	4	11	17	5	9	1	7	5	10	4	2	4	6	7	7	3	2	4	5	4	6	8	7	1	15	4	5	3	6	2	6	4	9	8	3	2	5	5	2	6	3	2	1	1	1	4	5	1	6	1	4	2	13	2	1	2	1	0	2	3	0	3	1	2	6	1	5	0	3	0	1	1	1	0	1	3	2	0	1	0	1	2	2	0	1	1	0	0	3	2	2	0	2	1	1	0	3	2	2	0	0	1	1	2	0	0	0	2	0	0	0	0	3	0	0	1	1	0	0	0	1	1	0	0	1	0	0	2	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3133	2554	610	844	967	1099	445	656	194	711	165	167	301	273	116	242	105	79	102	83	72	121	79	60	156	97	47	57	124	62	65	103	51	95	59	32	78	36	61	29	26	75	42	30	24	40	17	36	27	18	43	19	31	14	21	17	58	35	18	8	17	13	12	24	29	47	22	21	37	11	6	14	15	7	27	3	18	7	11	15	6	6	7	11	7	10	6	8	5	18	16	27	14	13	13	8	3	14	8	10	3	4	4	3	5	1	19	11	4	4	17	5	14	1	8	10	4	2	0	1	3	5	2	0	2	3	1	5	2	0	2	3	2	4	3	4	0	10	4	2	3	3	0	5	1	6	5	0	2	3	4	1	3	2	1	0	0	1	2	3	0	2	0	2	1	13	1	0	2	1	0	0	2	0	3	0	0	0	1	3	0	1	0	0	0	0	0	0	1	2	0	0	0	1	0	2	0	1	1	0	0	3	2	2	0	1	1	1	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5600	3995	1328	1472	1540	1623	775	1034	413	1064	327	333	490	440	227	409	217	179	180	134	142	220	157	103	270	146	107	113	213	121	95	153	80	171	120	62	128	61	85	58	66	122	86	51	57	60	36	54	41	43	95	47	60	37	45	33	97	60	27	19	27	27	28	40	43	72	35	51	61	18	20	22	24	8	30	10	35	14	27	19	17	15	11	21	12	21	12	15	14	20	22	37	19	19	14	17	13	16	13	13	8	8	8	6	8	5	29	12	6	11	17	10	14	7	15	17	6	4	8	8	3	7	6	3	2	4	12	7	4	7	5	4	4	5	7	5	1	16	4	6	3	9	0	7	7	9	6	5	2	4	3	2	6	5	2	1	0	0	3	5	1	4	1	5	1	12	2	2	1	2	1	1	6	1	1	0	0	6	2	3	1	2	0	2	4	1	0	1	3	1	0	1	0	2	2	5	0	1	4	0	0	1	1	1	0	2	2	1	1	2	1	1	0	0	1	1	2	0	0	0	2	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3140	2547	623	807	982	1069	439	650	193	741	165	174	306	255	111	267	102	78	93	69	55	127	83	50	173	76	52	55	145	64	56	101	48	114	67	29	84	33	48	26	30	72	54	29	23	35	15	42	23	23	70	19	35	12	23	12	53	38	16	10	15	9	15	27	31	49	21	25	40	8	9	16	13	3	21	2	22	10	15	12	5	6	8	14	8	12	5	7	5	15	15	30	17	13	10	12	5	11	7	11	4	1	3	3	5	2	21	10	2	9	11	4	8	4	11	11	4	1	6	1	1	5	4	0	1	2	6	7	2	6	2	2	2	3	3	3	0	10	4	3	3	7	0	6	4	6	3	1	1	4	2	1	2	2	0	0	0	0	2	3	0	2	0	3	1	12	1	0	0	2	1	0	2	1	1	0	0	0	1	3	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	0	1	4	0	0	0	1	1	0	1	2	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
