label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu195	Otu196	Otu197	Otu198	Otu199	Otu200	Otu201	Otu202	Otu203	Otu204	Otu205	Otu206	Otu207	Otu208	Otu209	Otu210	Otu211	Otu212	Otu213	Otu214	Otu215	Otu216	Otu217	Otu218	Otu219	Otu220	Otu221	Otu222	Otu223	Otu224	Otu225	Otu226	Otu227	Otu228	Otu229	Otu230	Otu231	Otu232	Otu233	Otu234	Otu235	Otu236	Otu237	Otu238	Otu239	Otu240	Otu241	Otu242	Otu243	Otu244	Otu245	Otu246	Otu247	Otu248	Otu249	Otu250	Otu251	Otu252	Otu253	Otu254	Otu255	Otu256	Otu257	Otu258	Otu259	Otu260	Otu261	Otu262	Otu263	Otu264	Otu265	Otu266	Otu267	Otu268	Otu269	Otu270	Otu271	Otu272	Otu273	Otu274	Otu275	Otu276	Otu277	Otu278	Otu279	Otu280	Otu281	Otu282	Otu283	Otu284	Otu285	Otu286	Otu287	Otu288	Otu289	Otu290	Otu291	Otu292	Otu293	Otu294	Otu295	Otu296	Otu297	Otu298	Otu299	Otu300	Otu301	Otu302	Otu303	Otu304	Otu305	Otu306	Otu307	Otu308	Otu309	Otu310	Otu311	Otu312	Otu313	Otu314	Otu315	Otu316	Otu317	Otu318	Otu319	Otu320	Otu321	Otu322	Otu323	Otu324	Otu325	Otu326	Otu327	Otu328	Otu329	Otu330	Otu331	Otu332	Otu333	Otu334	Otu335	Otu336	Otu337	Otu338	Otu339	Otu340	Otu341	Otu342	Otu343	Otu344	Otu345	Otu346	Otu347	Otu348	Otu349	Otu350	Otu351	Otu352	Otu353	Otu354	Otu355	Otu356	Otu357	Otu358	Otu359	Otu360	Otu361	Otu362	Otu363	Otu364	Otu365	Otu366	Otu367	Otu368	Otu369	Otu370	Otu371	Otu372	Otu373	Otu374	Otu375	Otu376	Otu377	Otu378	Otu379	Otu380	Otu381	Otu382	Otu383	Otu384	Otu385	Otu386	Otu387	Otu388	Otu389	Otu390	Otu391	Otu392	Otu393	Otu394	Otu395	Otu396	Otu397	Otu398	Otu399	Otu400	Otu401	Otu402	Otu403	Otu404	Otu405	Otu406	Otu407	Otu408	Otu409	Otu410	Otu411	Otu412	Otu413	Otu414	Otu415	Otu416	Otu417	Otu418	Otu419	Otu420	Otu421	Otu422	Otu423	Otu424	Otu425	Otu426	Otu427	Otu428	Otu429	Otu430	Otu431	Otu432	Otu433	Otu434	Otu435	Otu436	Otu437	Otu438	Otu439	Otu440	Otu441	Otu442	Otu443	Otu444	Otu445	Otu446	Otu447	Otu448	Otu449	Otu450	Otu451	Otu452	Otu453	Otu454	Otu455	Otu456	Otu457	Otu458	Otu459	Otu460	Otu461	Otu462	Otu463	Otu464	Otu465	Otu466	Otu467	Otu468	Otu469	Otu470	Otu471	Otu472	Otu473	Otu474	Otu475	Otu476	Otu477	Otu478	Otu479	Otu480	Otu481	Otu482	Otu483	Otu484	Otu485	Otu486	Otu487	Otu488	Otu489	Otu490	Otu491	Otu492	Otu493	Otu494	Otu495	Otu496	Otu497	Otu498	Otu499	Otu500	Otu501	Otu502	Otu503	Otu504	Otu505	Otu506	Otu507	Otu508	Otu509	Otu510	Otu511
0.03	north1_all	80	2810	1735	990	974	959	756	398	261	205	259	394	159	155	185	214	177	109	148	88	104	128	145	83	132	111	164	61	73	49	74	117	41	54	52	34	47	48	41	55	105	34	47	54	38	63	35	55	72	45	29	52	32	54	18	27	41	16	25	27	24	39	24	37	11	32	25	20	34	15	20	24	31	12	19	13	24	16	22	12	19	12	23	18	14	6	7	14	18	15	13	7	14	11	17	5	8	8	19	34	15	17	6	19	11	7	8	8	9	13	11	12	16	6	6	9	6	13	10	4	14	11	12	4	6	5	7	7	3	6	5	8	3	3	13	6	11	8	6	1	9	3	6	8	5	4	3	4	6	11	4	4	3	3	2	2	5	2	4	1	4	4	5	2	3	0	4	5	5	6	7	4	2	9	1	0	3	2	3	4	3	5	4	1	4	1	0	5	0	1	1	4	2	1	3	4	4	1	0	0	4	0	1	5	4	2	4	0	5	2	3	2	2	4	2	2	3	5	0	1	0	2	0	0	4	1	2	0	0	1	1	2	0	0	1	1	1	1	4	0	0	3	0	2	3	0	6	4	2	6	7	1	0	2	1	0	1	5	0	3	1	0	0	0	1	2	1	0	3	3	1	2	2	1	0	0	0	1	0	1	1	2	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	5	0	3	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	1474	994	532	630	607	492	206	119	99	131	248	72	77	104	120	97	47	79	43	48	69	92	31	82	62	87	24	37	22	42	80	28	28	24	15	28	30	22	31	59	15	16	33	20	38	19	39	50	21	13	31	14	30	9	9	24	8	17	17	14	29	10	19	5	18	14	12	21	8	12	12	21	6	6	9	14	14	16	4	10	4	11	11	6	4	4	8	5	6	8	2	8	5	8	2	7	5	16	19	8	13	3	11	8	4	3	4	5	7	5	8	9	3	4	5	2	10	8	1	8	6	8	3	2	0	4	7	1	4	4	5	3	1	7	3	6	3	1	0	5	0	3	4	2	2	3	4	5	6	1	2	2	1	1	1	3	2	2	1	2	1	1	0	2	0	3	0	3	2	5	0	0	2	1	0	2	0	2	4	2	5	0	1	2	0	0	4	0	0	0	1	2	1	2	1	0	0	0	0	1	0	0	1	4	0	3	0	5	0	2	1	0	4	1	1	2	4	0	1	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	1	1	3	0	0	1	0	1	3	0	0	1	2	2	6	0	0	1	0	0	1	5	0	2	0	0	0	0	1	0	1	0	1	2	0	1	2	1	0	0	0	0	0	1	1	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_all	80	2852	1878	1034	1036	1099	853	396	245	223	271	417	164	175	198	207	184	106	138	85	97	132	140	74	153	115	197	61	68	57	71	117	51	62	52	31	45	46	35	54	111	32	37	58	45	65	34	61	70	38	36	61	41	47	23	26	42	25	23	30	31	38	27	34	10	40	29	17	31	17	19	19	28	15	13	13	27	28	17	8	19	14	19	13	12	11	6	15	14	17	14	9	14	10	17	7	7	12	19	29	10	21	14	20	11	6	7	9	7	15	14	16	17	9	5	11	8	8	11	3	6	12	8	5	5	5	4	4	3	6	4	5	3	2	7	8	10	9	3	3	7	3	3	5	4	7	1	8	11	8	2	4	3	3	2	1	4	4	5	2	3	5	1	4	3	1	4	1	2	10	8	4	2	6	4	3	1	2	2	4	2	6	2	0	3	1	1	5	1	0	2	5	1	1	2	6	5	2	2	0	3	0	0	4	2	2	2	1	2	2	3	3	1	4	3	0	3	5	0	2	0	4	2	0	6	2	1	0	2	0	5	1	1	0	0	0	1	2	1	1	1	2	0	2	3	0	6	3	2	6	4	1	1	2	0	0	1	5	0	3	2	1	4	0	0	2	1	1	2	3	1	1	1	1	0	0	0	1	0	2	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	5	0	1	0	0	0	0	1	0	0	0	0	1	0	2	0	1	1	1	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	1505	1091	576	660	715	540	230	116	110	135	265	80	89	116	118	98	53	82	42	49	68	80	30	93	68	112	26	33	24	36	73	29	27	22	14	26	25	20	31	69	10	14	39	22	37	17	44	51	19	16	40	22	23	12	8	22	10	17	20	17	26	13	20	4	29	14	8	18	8	10	11	18	8	4	8	16	25	14	3	9	3	8	8	6	9	4	8	4	9	7	3	8	5	7	3	7	5	14	11	5	11	8	15	7	3	3	5	6	9	5	11	11	5	3	6	4	6	4	2	3	8	6	3	1	1	3	4	1	4	3	3	3	1	3	6	7	3	0	1	4	0	2	3	1	4	1	8	9	3	1	2	2	1	1	0	2	3	2	2	1	2	0	1	1	1	3	0	1	6	7	0	0	2	2	3	0	0	1	4	1	4	0	0	2	0	1	4	0	0	0	3	1	1	1	2	0	0	2	0	2	0	0	1	2	0	0	0	2	0	2	1	0	3	2	0	2	4	0	1	0	1	2	0	4	1	1	0	1	0	2	0	0	0	0	0	1	2	1	0	0	1	0	1	3	0	0	1	2	2	4	1	0	2	0	0	1	5	0	0	0	0	4	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	5	0	1	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north3_all	80	2997	1900	1106	1036	1170	898	428	226	225	265	465	173	180	209	188	198	106	140	88	105	151	149	66	153	125	194	57	71	54	73	130	68	62	46	35	62	53	37	45	124	35	35	83	43	80	38	71	60	34	34	71	39	42	18	35	44	26	31	26	40	38	24	38	11	48	28	19	43	19	15	25	28	14	15	12	27	25	11	13	18	14	18	17	17	15	7	14	19	16	10	7	15	7	17	7	7	11	11	31	12	28	16	23	14	8	4	14	9	19	9	18	20	11	6	8	8	11	12	2	4	13	7	2	3	6	3	5	5	8	2	4	3	2	9	11	9	8	5	4	7	2	2	4	6	8	2	9	10	8	4	2	4	5	2	2	5	4	6	2	0	7	1	2	3	1	5	0	3	6	5	3	0	3	4	4	1	1	1	2	1	6	1	0	4	1	4	1	1	1	3	4	0	1	3	4	2	1	6	0	3	1	0	2	4	5	2	1	0	2	3	3	2	5	3	0	3	3	0	2	1	2	2	0	3	4	2	0	3	0	6	1	1	0	1	0	0	2	1	1	1	1	0	1	3	0	6	1	2	5	4	1	1	1	0	0	1	5	0	3	2	1	5	0	0	2	0	1	2	3	1	1	0	1	0	1	0	0	2	2	0	2	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	2	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north3_active	80	1634	1106	622	616	774	561	239	106	108	141	289	88	97	118	109	107	56	87	50	58	96	78	36	99	71	115	22	37	19	34	82	38	27	21	17	36	31	21	28	77	9	12	45	20	46	18	45	47	18	15	53	23	25	9	16	28	11	17	15	22	23	11	22	5	34	11	8	24	11	7	14	17	8	4	9	14	21	7	3	8	5	8	10	7	12	6	8	8	9	7	4	10	5	7	1	7	3	2	13	3	15	8	15	9	6	1	9	5	13	3	16	8	7	4	5	4	8	4	2	1	9	6	1	0	3	2	4	1	5	1	2	2	1	7	8	6	2	0	2	3	0	1	2	4	4	1	8	6	5	3	0	1	2	1	1	4	3	2	1	0	2	0	1	2	1	3	0	2	4	4	0	0	2	1	3	0	0	0	2	0	4	0	0	2	0	3	0	0	0	1	2	0	1	2	2	0	0	6	0	2	1	0	1	3	2	0	0	0	0	2	2	0	4	2	0	2	2	0	1	0	1	2	0	1	3	1	0	2	0	2	0	0	0	1	0	0	2	1	0	0	0	0	1	3	0	0	1	2	2	4	1	0	1	0	0	1	5	0	0	0	0	5	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_all	80	3168	1919	1156	1131	1254	934	468	200	221	249	473	194	181	195	175	209	116	174	91	97	148	162	74	155	139	182	50	66	59	73	148	79	56	52	45	66	58	37	46	140	39	29	102	41	87	36	76	67	38	26	76	34	49	29	30	51	25	34	29	45	34	24	35	14	59	25	19	45	26	15	20	29	13	15	18	31	29	7	12	16	10	19	15	13	13	6	17	20	12	8	7	12	7	13	5	7	7	11	28	17	35	22	23	18	15	7	11	11	17	7	22	13	15	7	7	7	15	10	2	9	12	9	3	5	8	4	7	5	8	6	3	3	4	10	13	10	8	4	3	7	3	4	5	7	8	4	22	12	4	4	3	4	4	4	3	4	3	5	4	0	5	0	3	5	2	2	0	2	7	3	1	2	3	4	10	1	1	0	2	1	11	1	0	2	1	5	5	1	1	2	2	1	0	2	3	2	1	7	3	4	1	1	1	4	3	6	1	0	1	0	3	3	4	2	1	2	0	2	2	2	2	2	0	4	4	2	1	5	0	6	3	2	0	1	0	0	2	0	2	1	1	1	2	0	0	0	1	4	2	4	1	1	2	0	1	1	0	0	2	2	1	5	1	0	3	0	1	2	2	1	1	1	0	0	1	0	0	3	1	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	2	0	0	0	1	0	1	1	0	2	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	2	1	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	1742	1153	670	684	831	558	270	84	102	136	307	99	99	107	101	121	67	103	48	57	96	97	41	104	88	117	19	37	19	35	88	43	24	20	24	43	34	20	26	87	15	13	55	17	52	20	46	50	24	11	58	21	34	9	19	33	11	18	15	28	19	13	20	7	40	10	6	19	17	6	11	20	7	5	12	23	21	3	3	7	4	11	8	8	10	5	10	11	9	4	5	6	5	4	1	4	0	2	15	7	17	12	14	12	11	2	8	6	11	1	17	5	9	4	3	2	13	4	1	5	11	8	1	2	4	3	4	0	5	2	1	2	2	7	9	6	3	1	2	5	0	2	2	5	4	1	9	7	2	3	1	1	2	2	1	4	2	2	2	0	1	0	2	3	2	0	0	1	4	2	1	1	2	1	9	0	0	0	0	1	9	0	0	1	1	4	3	0	0	1	2	1	0	1	2	0	0	7	2	3	1	0	0	3	2	4	0	0	1	0	2	1	1	2	0	2	0	0	1	1	1	2	0	1	3	0	1	2	0	2	2	0	0	1	0	0	2	0	1	0	0	1	2	0	0	0	1	4	2	4	1	0	2	0	1	1	0	0	0	1	0	5	0	0	3	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_all	80	3160	1946	1213	1162	1304	902	466	239	217	254	526	198	179	204	176	222	116	182	101	98	154	173	79	148	133	159	55	76	57	61	155	77	48	46	56	65	72	36	56	148	38	33	107	38	79	38	78	81	39	26	68	29	59	31	34	64	20	35	27	49	30	27	45	14	59	23	20	47	23	21	27	44	9	16	13	44	49	13	22	13	7	17	19	18	7	8	20	25	12	8	6	15	12	16	5	6	5	14	30	15	33	15	19	18	19	7	12	13	17	3	32	13	14	8	7	4	12	6	2	16	8	20	6	9	10	3	20	5	10	9	4	2	4	10	9	9	8	4	4	5	5	6	4	8	2	9	25	6	10	5	3	3	4	5	4	3	1	4	3	1	4	1	1	6	6	3	1	4	3	3	1	3	2	1	8	2	2	1	2	3	13	1	0	2	1	6	5	1	4	5	1	1	0	3	1	3	1	7	4	1	1	3	1	2	3	9	1	1	1	1	3	2	4	2	1	1	0	3	3	2	1	0	1	2	4	2	3	3	0	6	3	2	0	1	1	0	2	1	1	1	2	1	2	0	0	0	1	2	1	0	1	0	1	0	1	2	0	1	1	2	1	4	1	1	3	0	1	1	0	1	0	2	0	0	1	0	0	3	0	0	2	0	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	2	1	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	2	1	1	0	1	0	1	0	1	1	0	0	0	0	1	2	1	0	0	1	1	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1780	1191	723	710	906	557	265	107	96	136	363	98	102	120	107	133	61	113	53	52	102	105	44	102	87	108	23	44	21	31	98	40	23	20	32	40	43	17	39	85	15	14	57	20	47	22	48	58	23	8	53	20	38	12	25	45	10	17	13	31	16	17	31	7	38	10	7	23	14	13	15	36	5	6	8	31	35	5	6	6	3	12	9	10	4	7	11	15	8	4	4	10	7	5	1	2	0	3	14	6	18	9	12	13	14	2	6	8	12	1	27	5	7	4	4	0	9	3	0	6	6	13	2	4	7	3	5	0	5	5	1	0	2	9	6	6	5	1	3	3	1	4	3	5	1	6	9	3	9	4	1	0	2	3	1	3	1	2	1	1	0	0	1	3	1	0	0	2	1	1	1	1	1	0	7	0	0	0	0	2	11	0	0	1	1	5	3	0	2	4	1	1	0	2	1	1	0	6	3	1	1	0	0	1	2	8	1	0	1	1	2	1	1	2	0	1	0	0	2	1	0	0	0	1	2	0	3	1	0	1	2	0	0	1	0	0	1	1	1	1	0	1	2	0	0	0	0	2	1	0	1	0	1	0	1	2	0	0	0	2	0	3	0	1	3	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
